id,chr1,chr2,start1,end1,start2,end2,pvalue,length,ks_median,ks_average,homo1,homo2,homo3,homo4,homo5,block1,block2,ks,density1,density2,class1,class2
269,3,3,1650,1658,2096,2103,0.0729,5,2.948,2.861966667,0.4,0.6,1,1,1,1650_1652_1654_1656_1658,2096_2100_2101_2102_2103,_-1_-1_2.2738_3.3641_2.948,0.555555556,0.625,0,0
491,6,11,1072,1057,225,250,0.1322,5,2.90255,2.898425,0.2,0.4,0.6,1,1,1072_1070_1062_1059_1057,225_226_228_232_250,_3.6093_-1_4.0577_2.1958_1.7309,0.3125,0.192307692,0,0
585,7,12,4367,4388,185,209,0.0361,6,2.8578,2.8578,1,1,1,1,1,4367_4368_4373_4379_4380_4388,185_186_188_198_199_209,_3.7597_-1_-1_-1_-1_1.9559,0.272727273,0.24,0,0
101,1,8,956,946,263,271,0.1426,6,2.8343,2.976866667,0.833333333,1,1,1,1,956_954_952_951_949_946,263_264_265_268_269_271,_-1_-1_-1_2.8343_3.9613_2.135,0.545454545,0.666666667,0,0
163,2,3,504,541,682,722,0.1402,6,2.803,2.61852,0.833333333,1,1,1,1,504_508_524_525_539_541,682_707_714_720_721_722,_3.157_-1_2.8545_2.3878_2.803_1.8903,0.157894737,0.146341463,0,0
162,2,3,1646,1596,2489,2535,0.0689,7,2.7823,2.363442857,0.857142857,0.857142857,1,1,1,1646_1645_1632_1624_1614_1601_1596,2489_2493_2502_2517_2518_2525_2535,_3.2935_2.7823_2.7929_1.3272_3.0817_1.1513_2.1152,0.137254902,0.14893617,0,0
130,2,11,1213,1203,1658,1692,0.1033,5,2.7231,2.86315,0.2,0.6,0.6,0.6,1,1213_1208_1205_1204_1203,1658_1686_1689_1691_1692,_2.8176_2.4504_3.556_-1_2.6286,0.454545455,0.142857143,0,0
152,2,2,2846,2873,2273,2296,0.0971,5,2.7001,2.494975,0.8,1,1,1,1,2846_2847_2848_2850_2873,2273_2283_2285_2292_2296,_2.6036_-1_3.1128_1.4669_2.7966,0.178571429,0.208333333,0,0
240,3,12,243,263,296,363,0.1667,5,2.68835,2.68835,1,1,1,1,1,243_248_251_261_263,296_322_344_353_363,_-1_3.6477_1.729_-1_-1,0.238095238,0.073529412,0,0
151,2,2,2626,2641,3017,3037,0.0687,5,2.6851,2.63072,0.6,0.8,1,1,1,2626_2627_2628_2629_2641,3017_3023_3025_3027_3037,_2.6851_2.91_1.6437_3.4633_2.4515,0.3125,0.238095238,0,0
241,3,12,3009,2954,1769,1802,0.1124,5,2.589,2.589,0.4,1,1,1,1,3009_3001_2988_2955_2954,1769_1783_1789_1799_1802,_-1_-1_1.6099_3.5681_-1,0.089285714,0.147058824,0,0
126,2,11,1185,1161,626,675,0.1754,9,2.58325,2.6089125,0.666666667,0.777777778,0.888888889,1,1,1185_1183_1179_1173_1172_1171_1166_1165_1161,626_628_629_635_642_662_665_674_675,_2.8053_4.7194_-1_1.398_2.3612_3.104_1.4363_3.2767_1.7704,0.36,0.18,0,0
635,7,5,2325,2344,1766,1771,0.0057,5,2.5818,2.54254,0.8,1,1,1,1,2325_2326_2330_2340_2344,1766_1767_1768_1769_1771,_2.7053_2.1647_2.5818_4.0047_1.2562,0.25,0.833333333,0,0
564,7,1,166,154,841,880,0.0845,6,2.55965,2.59325,0.833333333,0.833333333,1,1,1,166_165_159_156_155_154,841_842_872_874_876_880,_1.3312_-1_2.869_2.2503_3.9225_-1,0.461538462,0.15,0,0
539,6,4,1433,1471,144,164,0.1356,5,2.55945,2.55945,0.2,0.6,0.6,0.6,1,1433_1436_1437_1438_1471,144_146_147_149_164,_-1_-1_-1_2.5918_2.5271,0.128205128,0.238095238,0,0
404,5,2,2688,2676,2139,2173,0.0311,5,2.55075,2.685825,1,1,1,1,1,2688_2684_2679_2677_2676,2139_2167_2170_2171_2173,_1.4827_1.7384_3.3631_4.1591_-1,0.384615385,0.142857143,0,0
448,5,6,4080,4099,1966,1972,0.1719,5,2.5483,2.5483,0.6,0.8,0.8,1,1,4080_4086_4095_4096_4099,1966_1969_1970_1971_1972,_2.8215_-1_2.2751_-1_-1,0.25,0.714285714,0,0
531,6,4,732,725,1981,1986,0.0295,5,2.53935,2.53935,0.6,0.6,0.8,0.8,1,732_731_730_729_725,1981_1982_1983_1984_1986,_-1_3.2924_-1_-1_1.7863,0.625,0.833333333,0,0
526,6,4,731,717,1981,1998,0.0339,8,2.5316,2.42325,0.5,0.5,0.625,0.75,1,731_730_729_728_727_726_725_717,1981_1982_1983_1984_1985_1986_1987_1998,_-1_2.5638_-1_-1_1.1857_2.4994_-1_3.4441,0.533333333,0.444444444,0,0
620,7,5,3887,3857,1736,1767,0.0086,12,2.516,2.488514286,0.833333333,1,1,1,1,3887_3885_3882_3881_3877_3875_3872_3870_3865_3864_3858_3857,1736_1738_1742_1743_1745_1752_1756_1758_1760_1763_1766_1767,_-1_3.0486_3.1701_4.0368_-1_1.3107_2.516_1.6383_-1_-1_1.6991_-1,0.387096774,0.375,0,0
168,2,3,2574,2600,996,1026,0.0956,5,2.51165,2.418825,0.4,0.8,0.8,0.8,1,2574_2576_2589_2597_2600,996_1005_1007_1017_1026,_-1_1.3522_2.2791_3.2998_2.7442,0.185185185,0.161290323,0,0
342,4,2,2526,2549,1667,1722,0.0848,7,2.5068,2.38762,0.857142857,0.857142857,0.857142857,0.857142857,1,2526_2528_2531_2532_2533_2535_2549,1667_1691_1696_1701_1704_1715_1722,_-1_2.5068_2.858_3.1685_1.9964_-1_1.4084,0.291666667,0.125,0,0
530,6,4,170,163,723,748,0.0135,5,2.4657,2.1648,1,1,1,1,1,170_169_168_167_163,723_728_733_741_748,_-1_-1_2.5041_1.5246_2.4657,0.625,0.192307692,0,0
485,6,11,10,17,2124,2135,0.0036,7,2.4631,2.45026,0.857142857,1,1,1,1,10_12_13_14_15_16_17,2124_2127_2129_2131_2132_2133_2135,_1.5359_-1_1.6478_-1_2.4631_4.0259_2.5786,0.875,0.583333333,0,0
351,4,6,106,96,2189,2207,0.0938,5,2.46025,2.46025,0.2,0.2,0.4,0.6,1,106_101_100_97_96,2189_2203_2205_2206_2207,_2.21_2.7105_-1_-1_-1,0.454545455,0.263157895,0,0
371,5,11,1503,1475,1464,1500,0.0416,10,2.4567,2.69225,0.7,1,1,1,1,1503_1499_1498_1492_1490_1489_1488_1485_1484_1475,1464_1465_1468_1472_1479_1484_1486_1487_1489_1500,_1.9958_-1_-1_3.8598_-1_-1_-1_2.4081_-1_2.5053,0.344827586,0.27027027,0,0
586,7,12,2210,2195,1381,1408,0.0486,5,2.4434,2.2241,0.8,1,1,1,1,2210_2202_2200_2197_2195,1381_1404_1405_1406_1408,_2.6606_2.4434_1.5683_-1_-1,0.3125,0.178571429,0,0
636,7,5,2727,2772,1308,1392,0.1801,7,2.42475,2.7321,1,1,1,1,1,2727_2728_2753_2754_2769_2771_2772,1308_1333_1372_1381_1385_1391_1392,_2.3049_-1_1.9366_4.9031_1.3059_2.5446_3.3975,0.152173913,0.082352941,0,0
444,5,6,880,805,47,151,0.1425,8,2.423,2.38416,0.375,0.75,0.875,1,1,880_875_844_843_841_838_823_805,47_49_54_78_85_94_118_151,_3.3776_1.582_-1_2.4558_2.0824_-1_-1_2.423,0.105263158,0.076190476,0,0
81,1,7,921,865,1770,1808,0.0735,7,2.4222,2.514,0.142857143,0.714285714,0.857142857,1,1,921_919_918_915_908_900_865,1770_1773_1775_1777_1780_1792_1808,_2.5252_2.0532_2.5743_2.3192_-1_1.9242_3.6879,0.122807018,0.179487179,0,0
186,2,7,3723,3674,1550,1617,0.072,11,2.4021,2.1997,0.818181818,0.818181818,0.909090909,0.909090909,1,3723_3719_3718_3716_3698_3696_3693_3689_3685_3683_3674,1550_1558_1562_1577_1583_1589_1591_1600_1606_1612_1617,_-1_-1_2.5688_-1_1.1223_1.9273_-1_-1_2.4021_-1_2.978,0.22,0.161764706,0,0
645,7,5,4241,4225,1485,1534,0.1548,5,2.3773,2.4795,0.6,0.6,0.6,0.8,1,4241_4240_4232_4226_4225,1485_1503_1519_1533_1534,_2.3773_-1_1.2457_3.8155_-1,0.294117647,0.1,0,0
454,5,6,761,725,253,331,0.1795,5,2.3666,2.433175,0.4,1,1,1,1,761_743_742_734_725,253_282_294_305_331,_3.7449_2.0456_1.2546_-1_2.6876,0.135135135,0.063291139,0,0
61,1,3,205,185,243,273,0.026,10,2.3521,2.336471429,0.9,0.9,0.9,0.9,1,205_204_201_199_196_195_194_189_187_185,243_245_246_259_262_263_264_265_270_273,_2.3521_-1_-1_2.9954_1.6829_1.6512_2.1365_3.0665_2.4707_-1,0.476190476,0.322580645,0,0
128,2,11,1401,1421,684,747,0.0784,8,2.34765,2.26415,0.625,0.625,0.75,0.875,1,1401_1403_1405_1406_1408_1410_1416_1421,684_690_706_708_709_720_743_747,_-1_1.1758_2.8432_3.5495_2.9194_-1_1.8521_1.2449,0.380952381,0.125,0,0
588,7,12,3150,3128,1570,1606,0.1125,5,2.346,2.11588,0.8,0.8,0.8,0.8,1,3150_3142_3134_3132_3128,1570_1574_1580_1593_1606,_1.5956_2.7602_1.3851_2.346_2.4925,0.217391304,0.135135135,0,0
