id,chr1,chr2,start1,end1,start2,end2,pvalue,length,ks_median,ks_average,homo1,homo2,homo3,homo4,homo5,block1,block2,ks,density1,density2,class1,class2
1,1,1,509.0,620.0,8.0,265.0,0.0584,31,-1,-1,0.8709677419354839,0.935483870967742,0.967741935483871,1.0,1.0,509_512_513_515_516_518_520_521_522_528_542_549_557_558_560_563_565_566_567_568_569_570_571_572_575_613_614_616_617_618_620,8_12_13_19_22_32_39_44_46_85_100_128_130_138_147_173_175_183_184_185_193_196_197_199_203_232_242_247_255_262_265,_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,0.2767857142857143,0.1201550387596899,0,0
2,1,1,609.0,580.0,282.0,414.0,0.0865,16,-1,-1,0.875,1.0,1.0,1.0,1.0,609_608_607_605_604_603_602_601_597_596_595_594_593_590_588_580,282_284_293_312_313_326_327_328_338_344_362_363_365_371_383_414,_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,0.5333333333333333,0.1203007518796992,0,0
3,1,1,943.0,867.0,2573.0,2687.0,0.0896,14,-1,-1,0.8571428571428571,0.9285714285714286,0.9285714285714286,1.0,1.0,943_938_898_891_888_886_885_883_881_880_874_869_868_867,2573_2592_2613_2617_2621_2627_2634_2636_2642_2646_2673_2678_2680_2687,_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,0.1818181818181818,0.1217391304347826,0,0
4,1,1,540.0,523.0,53.0,89.0,0.0582,12,-1,-1,1.0,1.0,1.0,1.0,1.0,540_539_538_536_534_533_531_530_529_525_524_523,53_54_58_60_62_65_71_76_82_87_88_89,_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,0.6666666666666666,0.3243243243243243,0,0
5,1,1,964.0,989.0,623.0,674.0,0.067,7,-1,-1,0.8571428571428571,1.0,1.0,1.0,1.0,964_974_975_976_985_988_989,623_630_631_633_664_672_674,_-1_-1_-1_-1_-1_-1_-1,0.2692307692307692,0.1346153846153846,0,0
6,1,1,901.0,924.0,1327.0,1400.0,0.1154,6,-1,-1,1.0,1.0,1.0,1.0,1.0,901_903_912_915_919_924,1327_1329_1347_1351_1372_1400,_-1_-1_-1_-1_-1_-1,0.25,0.081081081081081,0,0
9,1,10,1458.0,1465.0,307.0,373.0,0.0121,6,-1,-1,1.0,1.0,1.0,1.0,1.0,1458_1459_1461_1463_1464_1465,307_312_337_343_361_373,_-1_-1_-1_-1_-1_-1,0.75,0.0895522388059701,0,0
10,1,10,1460.0,1438.0,93.0,190.0,0.1472,6,-1,-1,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1460_1449_1443_1441_1439_1438,93_117_137_147_171_190,_-1_-1_-1_-1_-1_-1,0.2608695652173913,0.0612244897959183,0,0
11,1,12,851.0,825.0,2069.0,2116.0,0.0151,12,-1,-1,0.8333333333333334,1.0,1.0,1.0,1.0,851_844_843_841_840_839_838_830_829_827_826_825,2069_2073_2075_2087_2088_2093_2105_2107_2108_2110_2115_2116,_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,0.4444444444444444,0.25,0,0
12,1,12,1483.0,1504.0,1367.0,1488.0,0.0308,12,-1,-1,0.75,0.9166666666666666,0.9166666666666666,0.9166666666666666,1.0,1483_1485_1486_1488_1490_1491_1492_1493_1494_1500_1502_1504,1367_1375_1411_1419_1426_1436_1442_1444_1454_1470_1471_1488,_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,0.5454545454545454,0.0983606557377049,0,0
