atr42s1g00066,nc476s1g02863,,,,,,,spo4s6g00870,,,,,,,,da480s19g01291,ase9s2g03067,,,,elg3s5g00472,,,,aco40s18g00415,,,,,,cs471s1g01347,,,lc2s15g00035,,,cm170s3g01288,,,CdeChr42g00347,,,,,,CdeChr30g00325,,vvi161s6g00023,,,,ive12g02224,gbi44s10g01401,sgi44s9g02160,,,
atr42s1g00071,nc476s2g02367,,,agr8s1g00744,,spo4s1g00531,,,abr7s8g00544,abr7s13g00605,,abr7s17g00299,,da480s12g00545,,,ase9s2g03064,,,,,,,elg3s10g00181,aco40s18g00416,aco40s14g00451,aco40s4g00741,aco40s23g00247,,,cs471s1g01352,cs471s7g02629,afi49s1g03039,,,cm170s2g00581,,,cm170s1g03105,CdeChr42g00348,,CdeChr40g00477,CdeChr41g00112,,,CdeChr30g00324,,vvi161s6g00025,vvi161s1g00945,,,ive12g02232,gbi44s11g00548,,,,
atr42s1g00142,nc476s1g02905,,,agr8s1g00713,,,,spo4s6g00858,,,,,da480s7g00876,,,,,ase9s5g00089,,,,,,,aco40s18g00399,,,,,,,cs471s7g02442,,lc2s15g00063,,,cm170s3g01299,,,,,CdeChr40g00464,CdeChr41g00125,,,,,vvi161s6g00861,,,ive3g00120,ive12g02154,gbi44s6g00643,sgi44s2g00395,afi61s6g00162,smo62s11g00318,ppa60s11g01119
atr42s1g00144,nc476s1g02906,,agr8s1g03063,,spo4s10g00781,,,,,abr7s13g00586,,,,,,da480s19g01146,,ase9s5g00086,,,,,,,,,aco40s4g00709,,,,,,,,,,,,cm170s1g03076,,CdeChr8g00042,CdeChr40g00463,CdeChr41g00126,,,,,vvi161s6g00862,,,ive3g00123,ive12g02153,gbi44s11g00431,sgi44s5g02167,afi61s21g00037,smo62s61g00021,ppa60s4g00211
atr42s1g00182,nc476s9g00563,,agr8s1g03053,agr8s1g00700,,,,,,,abr7s11g00760,abr7s17g00269,,,,da480s19g01141,,ase9s5g00065,,,,,elg3s5g00998,,,,aco40s4g00702,,,,cs471s1g01452,,,lc2s15g00144,lc2s7g01028,cm170s2g00673,,,cm170s1g03028,CdeChr42g00362,,,,,,,,vvi161s6g00893,,,ive3g00170,,gbi44s11g00254,sgi44s2g00557,afi61s156g00015,smo62s37g00252,ppa60s19g00530
atr42s1g00184,nc476s1g02929,,,agr8s1g00698,,spo4s1g00567,,,,,,abr7s17g00267,,,,da480s19g01134,,,,ase9s7g00020,,,elg3s5g00996,,,,,,aco40s13g00312,,,,afi49s1g03242,,lc2s7g01030,cm170s2g00674,,,,,,CdeChr16g00473,,,,,,vvi161s6g00895,,,,ive12g02142,gbi44s11g00232,sgi44s7g00983,,smo62s52g00141,ppa60s20g00502
atr42s1g00193,nc476s1g02931,,,agr8s1g00693,,spo4s1g00569,,,,abr7s13g00577,,,da480s7g00858,da480s12g00517,,,ase9s2g02287,,,,,,,,aco40s18g00390,,,,,,,cs471s7g02394,,lc2s15g00146,,,,,cm170s1g03025,CdeChr42g00363,,CdeChr16g00475,CdeChr41g00132,,,CdeChr30g00359,,vvi161s6g00896,,,ive3g00176,ive12g02138,gbi44s11g00453,sgi44sHRSCAF_1g00272,,,
atr42s1g00199,nc476s1g02932,,,agr8s1g00689,,spo4s1g00572,,,,,,abr7s17g00265,da480s7g00854,,,,,,,ase9s7g00007,,,elg3s5g00992,,,,,aco40s23g00274,aco40s13g00315,,,,afi49s2g03322,,,,,,,,,,,,,,,vvi161s6g00897,,,ive3g00181,,gbi44s5g01014,,,,
atr42s1g00206,nc476s1g02946,,,agr8s1g00670,,,spo4s6g00291,,,,,,,da480s12g00509,,,,,,,,,,,,,,,aco40s13g00325,,cs471s1g01490,,,lc2s15g00167,,,,,cm170s1g03017,,,,,,,,,,vvi161s8g00450,,,ive12g02112,gbi44s11g00378,sgi44s2g00344,,smo62s194g00017,
atr42s1g00214,nc476s9g00424,,agr8s1g00952,agr8s1g00594,,,,,,,,,,da480s12g00462,,,ase9s2g02186,,,,,elg3s14g00758,,elg3s10g00229,,,aco40s4g00648,,,,,,afi49s2g03143,,lc2s7g01195,cm170s2g00868,cm170s3g01444,,cm170s1g02935,,,,,,,,,,vvi161s8g00496,,ive3g00383,,gbi44s2g00941,,,,
