id,chr1,chr2,start1,end1,start2,end2,pvalue,length,ks_median,ks_average,homo1,homo2,homo3,homo4,homo5,block1,block2,ks,density1,density2,class1,class2,diff
1,1,1,2935.0,3007.0,214.0,391.0,0.0328,31,1.5448,1.7534103448275862,0.8571428571428571,1.0,1.0,1.0,1.0,2935_2937_2938_2939_2940_2941_2943_2944_2950_2952_2962_2964_2966_2968_2975_2976_2981_2982_2984_2985_2987_2989_2991_2994_2998_2999_3000_3001_3002_3004_3007,214_215_216_217_218_224_231_233_235_242_247_252_255_280_281_282_289_309_313_327_328_331_343_365_366_368_378_381_382_383_391,_1.5448_2.0533_2.4138_1.9297_1.7786_3.0513_1.1794_1.686_-1_2.2988_1.9105_1.3781_1.9838_1.7975_1.4078_1.396_1.4859_1.4469_1.1202_1.0837_-1_1.4202_1.2468_4.0508_1.9544_1.5181_2.0319_1.182_1.9878_1.2703_1.2405,0.4246575342465753,0.1741573033707865,4,1,1.0
2,1,1,3045.0,3087.0,60.0,174.0,0.0625,19,1.6301,1.7968066666666669,0.9333333333333332,1.0,1.0,1.0,1.0,3045_3050_3055_3056_3057_3060_3062_3069_3073_3076_3077_3078_3080_3082_3083_3084_3085_3086_3087,60_100_102_109_114_123_129_137_138_144_147_151_153_155_159_161_170_173_174,_-1_-1_1.9578_1.8083_1.2574_1.4963_1.5188_1.5744_-1_-1_2.6097_1.5306_1.531_2.1959_1.6301_2.4252_2.448_1.2714_1.6972,0.4418604651162791,0.1652173913043478,4,1,1.0
3,1,1,3120.0,3053.0,22.0,100.0,0.1359,17,1.8862,1.9378933333333337,0.9285714285714286,1.0,1.0,1.0,1.0,3120_3119_3116_3115_3114_3113_3108_3105_3104_3103_3101_3100_3095_3094_3092_3091_3053,22_23_24_26_32_35_44_71_72_76_82_85_86_87_88_89_100,_2.0229_2.5733_-1_1.9087_2.1657_4.3334_0.9755_1.2945_1.8507_1.8862_1.8975_1.3106_2.3835_1.1154_1.655_1.6955_-1,0.25,0.2151898734177215,4,1,1.0
4,1,1,2912.0,2862.0,1258.0,1372.0,0.0941,16,1.76645,1.808375,0.6923076923076923,0.9230769230769232,1.0,1.0,1.0,2912_2906_2904_2903_2901_2898_2887_2881_2880_2879_2876_2874_2872_2869_2868_2862,1258_1260_1265_1267_1268_1270_1301_1303_1308_1310_1331_1339_1341_1347_1351_1372,_1.9351_2.3547_-1_-1_-1_3.5557_1.2837_0.9001_1.6785_1.4962_1.0774_-1_1.8007_1.966_1.9202_1.7322,0.3137254901960784,0.1391304347826087,4,1,0.9385964912280702
5,1,1,3028.0,3017.0,182.0,206.0,0.1698,7,1.4436,1.5001714285714285,1.0,1.0,1.0,1.0,1.0,3028_3025_3023_3022_3020_3019_3017,182_193_201_202_203_205_206,_1.4436_1.5436_1.391_1.3061_1.8509_1.4028_1.5632,0.5833333333333334,0.28,4,1,1.0
8,1,1,2932.0,2921.0,476.0,483.0,0.0114,5,1.44375,1.9242,1.0,1.0,1.0,1.0,1.0,2932_2930_2928_2927_2921,476_477_479_480_483,_1.0787_1.6703_3.7306_-1_1.2172,0.4166666666666667,0.625,4,1,1.0
9,1,1,2974.0,2970.0,263.0,276.0,0.0713,5,1.5743,1.7383399999999998,1.0,1.0,1.0,1.0,1.0,2974_2973_2972_2971_2970,263_265_266_273_276,_1.0642_2.1496_2.6054_1.2982_1.5743,1.0,0.3571428571428571,4,1,1.0
10,1,10,1070.0,1015.0,313.0,634.0,0.0318,34,1.713,1.761793333333333,0.925925925925926,1.0,1.0,1.0,1.0,1070_1068_1067_1066_1065_1063_1061_1057_1056_1052_1051_1050_1049_1044_1043_1042_1040_1039_1038_1037_1035_1034_1032_1029_1028_1027_1026_1024_1023_1022_1021_1020_1019_1015,313_314_320_321_326_336_341_351_352_362_366_382_383_413_417_418_419_420_436_464_470_490_491_524_537_567_568_588_589_595_605_606_629_634,_1.9839_1.1848_2.3369_1.8348_1.3771_1.8655_1.5715_1.6754_1.3627_1.2099_3.1615_1.0374_1.4294_1.2651_1.7506_-1_1.633_-1_1.9507_1.5445_1.9183_-1_1.0559_1.8246_1.6226_2.7013_1.8224_2.1493_1.4796_1.371_1.7532_2.2074_2.7735_-1,0.6071428571428571,0.1055900621118012,1,1,1.0
11,1,10,32.0,79.0,1383.0,1488.0,0.0764,14,1.7731,1.7705272727272727,0.75,0.9166666666666666,0.9166666666666666,1.0,1.0,32_37_51_56_59_60_61_65_66_69_71_72_74_79,1383_1384_1390_1396_1426_1427_1434_1436_1438_1440_1441_1442_1482_1488,_1.814_1.5639_1.7731_2.5764_1.2682_1.3015_2.2807_1.4416_1.5059_-1_-1_-1_1.8301_2.1204,0.2916666666666667,0.1320754716981132,1,1,1.0
12,1,10,1072.0,1172.0,33.0,150.0,0.2108,14,1.82555,2.22345,0.4545454545454545,0.5454545454545454,0.7272727272727273,0.9090909090909092,1.0,1072_1080_1081_1085_1086_1087_1088_1089_1091_1130_1135_1170_1171_1172,33_50_53_55_63_64_65_69_88_101_124_139_140_150,_-1_1.3488_1.4214_1.4904_1.9904_2.1901_1.7891_1.862_-1_-1_3.5972_5.0519_1.4932_-1,0.1386138613861386,0.1186440677966101,1,1,1.0
