id,chr1,chr2,start1,end1,start2,end2,pvalue,length,ks_median,ks_average,homo1,homo2,homo3,homo4,homo5,block1,block2,ks,density1,density2,class1,class2
1,1,1,3057.0,2948.0,210.0,470.0,0.0125,60,1.9899,2.098926666666667,0.94,1.0,1.0,1.0,1.0,3057_3054_3053_3052_3051_3048_3044_3043_3042_3041_3040_3038_3037_3036_3034_3033_3032_3029_3028_3027_3026_3023_3022_3021_3020_3019_3018_3013_3012_3011_3009_3008_3007_3005_3000_2999_2993_2988_2985_2984_2983_2982_2981_2980_2978_2977_2976_2975_2974_2972_2971_2969_2968_2967_2962_2957_2956_2952_2951_2948,210_215_216_218_220_224_234_235_236_242_246_252_255_256_258_260_262_263_265_266_271_272_273_275_276_280_281_282_284_289_293_298_302_304_326_327_328_336_340_346_362_364_365_366_368_377_378_380_381_383_384_391_414_418_449_458_462_468_469_470,_1.4108_-1_-1_1.7024_-1_2.7019_2.4788_3.4771_2.3375_3.6481_1.5168_1.6364_-1_-1_-1_1.3826_1.4708_1.4712_-1_-1_1.9111_1.3687_2.0799_2.6928_1.0219_2.6639_1.4743_2.3742_1.899_2.29_1.9973_-1_-1_-1_1.7209_1.2612_2.2098_2.1307_1.6559_1.425_1.6042_-1_1.4809999999999999_3.641_1.578_2.0601_5.0329_2.4161_-1_1.8423_3.2576_2.2713_1.2306_-1_-1_1.6682_2.657_2.2625_2.048_1.9899,0.5454545454545454,0.22988505747126436,0,0
2,1,1,3103.0,3233.0,2000.0,2261.0,0.05,43,2.1493,2.198751515151516,0.9142857142857143,0.9714285714285714,0.9714285714285714,1.0,1.0,3103_3104_3113_3114_3115_3116_3119_3122_3125_3127_3129_3138_3141_3142_3144_3145_3147_3149_3151_3152_3153_3155_3158_3165_3166_3171_3183_3184_3185_3186_3187_3188_3193_3195_3198_3200_3202_3206_3207_3212_3214_3231_3233,2000_2012_2013_2014_2016_2017_2019_2021_2024_2028_2029_2035_2042_2044_2049_2051_2056_2059_2060_2065_2066_2070_2075_2095_2096_2115_2132_2133_2134_2135_2152_2155_2173_2184_2191_2195_2207_2210_2221_2225_2235_2259_2261,_1.1207_1.9948_2.1832_1.483_-1_-1_2.4207_2.9267_2.2975_1.4044_1.9157_2.7412_3.5425_1.7262_2.1493_1.5565_2.8931_-1_2.1314_2.5805_-1_2.1155_-1_-1_2.8668_1.6599_2.2308_-1_1.7585_1.5284_2.7669_2.0304_-1_-1_1.3719999999999999_2.8952_2.1934_1.4805_2.4868_-1_1.6164_2.6589_3.8310000000000004,0.3282442748091603,0.16412213740458015,0,0
3,1,1,3292.0,3357.0,1728.0,1856.0,0.0297,27,2.2923,2.6470590909090905,0.8,0.8,0.9,1.0,1.0,3292_3296_3310_3311_3313_3315_3324_3326_3327_3330_3331_3332_3334_3335_3336_3337_3339_3344_3345_3346_3347_3349_3350_3353_3354_3355_3357,1728_1739_1743_1749_1755_1760_1764_1769_1775_1785_1788_1790_1794_1795_1796_1801_1807_1819_1824_1826_1829_1831_1837_1838_1839_1843_1856,_1.7969_3.8767_2.3327_2.9914_3.3085_-1_1.8215_1.3434_1.3753_4.6765_1.4954_2.2152_3.0035_-1_1.5079_3.0914_1.8427_-1_2.2519_5.1747_-1_3.5091_3.1441_-1_4.977_1.4946_1.0049,0.4090909090909091,0.20930232558139536,0,0
4,1,1,2853.0,2946.0,88.0,206.0,0.0649,26,1.7656999999999998,1.8772166666666668,0.9130434782608695,1.0,1.0,1.0,1.0,2853_2886_2888_2889_2890_2891_2892_2894_2895_2899_2901_2902_2903_2904_2905_2906_2907_2910_2923_2929_2930_2931_2932_2934_2936_2946,88_100_102_109_115_121_123_128_129_130_137_138_139_140_142_144_148_175_180_184_185_193_199_201_203_206,_2.2633_-1_-1_1.6366_2.9152_1.4473_3.1161_1.5645_-1_2.0005_2.4477_2.2936_-1_1.5969_1.7992_-1_-1_-1_1.0774_-1_1.4201_1.7322_1.5001_1.8639_1.9988_1.1165,0.2765957446808511,0.2184873949579832,0,0
5,1,1,2880.0,2855.0,48.0,82.0,0.0272,14,1.90225,2.0807,0.9090909090909091,1.0,1.0,1.0,1.0,2880_2879_2878_2877_2876_2875_2873_2870_2866_2863_2861_2860_2859_2855,48_51_53_54_56_58_60_62_65_66_70_71_72_82,_1.5917_1.8969999999999998_-1_3.3391_1.5432_-1_-1_2.1565_2.397_1.9075_1.8136_-1_-1_-1,0.5384615384615384,0.4,0,0
6,1,1,3275.0,3252.0,1063.0,1158.0,0.0501,13,1.8193000000000001,1.9789,0.7272727272727273,0.9090909090909091,0.9090909090909091,0.9090909090909091,1.0,3275_3272_3271_3266_3264_3263_3261_3260_3259_3256_3255_3254_3252,1063_1089_1090_1096_1102_1103_1107_1125_1136_1141_1150_1152_1158,_-1_1.3885_1.3771_1.591_-1_1.848_2.8599_2.0722_1.1845_2.4644_-1_3.2128_1.7906,0.5416666666666666,0.13541666666666666,0,0
7,1,1,3359.0,3408.0,1223.0,1405.0,0.1482,13,1.9578,2.1321333333333334,0.9090909090909091,1.0,1.0,1.0,1.0,3359_3360_3364_3373_3387_3388_3391_3395_3397_3398_3401_3407_3408,1223_1224_1260_1290_1327_1328_1331_1338_1339_1341_1351_1372_1405,_-1_-1_-1_1.6689_-1_1.6766_1.5921_3.2422_2.5976_2.68_1.9781_1.7959_1.9578,0.26,0.07103825136612021,0,0
8,1,1,3413.0,3452.0,642.0,805.0,0.1455,12,2.0258,2.0479000000000003,0.8333333333333334,0.9166666666666666,0.9166666666666666,1.0,1.0,3413_3414_3432_3433_3437_3438_3440_3442_3446_3447_3451_3452,642_651_678_695_704_705_726_729_761_768_804_805,_2.1825_2.9233_1.755_1.5445_1.2614_1.8428_2.1307_2.7124_-1_2.0258_2.1941_1.9544,0.3,0.07317073170731707,0,0
9,1,1,3291.0,3358.0,1730.0,1855.0,0.4742,12,1.7714,2.1803285714285714,0.6363636363636364,0.8181818181818182,0.8181818181818182,1.0,1.0,3291_3299_3311_3324_3328_3332_3341_3344_3348_3351_3356_3358,1730_1736_1750_1766_1775_1791_1806_1820_1828_1836_1841_1855,_-1_-1_-1_1.5471_1.5796_1.7714_-1_3.2025_-1_3.7312_2.0548_1.3757,0.17647058823529413,0.09523809523809523,0,0
10,1,1,3471.0,3425.0,491.0,561.0,0.0781,8,1.72,1.6932800000000001,0.875,1.0,1.0,1.0,1.0,3471_3467_3461_3431_3430_3428_3427_3425,491_520_546_552_554_557_558_561,_1.6625_-1_-1_1.9273_1.9017_1.2549_-1_1.72,0.1702127659574468,0.11267605633802817,0,0
