id,chr1,chr2,start1,end1,start2,end2,pvalue,length,ks_median,ks_average,homo1,homo2,homo3,homo4,homo5,block1,block2,ks,density1,density2,class1,class2
51,1,12,1249,1267,226,268,0.114,6,2.6848,2.63256,0.333333333,0.5,1,1,1,1249_1259_1260_1263_1266_1267,226_231_232_235_265_268,_3.5538_2.6848_1.8474_1.8589_3.2179_-1,0.315789474,0.139534884,1,1
297,3,13,597,591,958,972,0.1616,6,2.0584,2.106316667,0.333333333,0.5,0.666666667,1,1,597_596_594_593_592_591,958_961_962_969_971_972,_1.612_1.6086_2.11_2.9343_2.3662_2.0068,0.857142857,0.4,1,1
101,1,3,4377,4392,996,1026,0.0973,5,2.5323,2.3857,0.4,0.8,0.8,0.8,1,4377_4378_4382_4391_4392,996_1005_1008_1017_1026,_2.9361_1.547_2.5587_2.5323_2.3544,0.3125,0.161290323,1,1
153,2,1,3322,3331,199,204,0.0699,5,2.1423,2.12985,0.4,0.8,0.8,1,1,3322_3326_3329_3330_3331,199_201_202_203_204,_2.3058_1.929_2.2544_2.0302_-1,0.5,0.833333333,1,1
205,2,4,757,769,2254,2270,0.0674,5,2.7138,3.087733333,0.4,0.4,0.6,0.8,1,757_759_765_767_769,2254_2263_2268_2269_2270,_2.7138_4.5747_-1_1.9747_-1,0.384615385,0.294117647,1,1
574,7,12,1770,1762,376,405,0.0723,5,2.0738,2.072433333,0.4,0.4,0.4,0.6,1,1770_1769_1768_1766_1762,376_387_390_398_405,_-1_1.4592_-1_2.0738_2.6843,0.555555556,0.166666667,1,1
604,7,2,1390,1382,894,901,0.0354,5,1.6251,1.64096,0.4,0.4,0.8,0.8,1,1390_1389_1388_1387_1382,894_895_896_899_901,_1.6045_1.6251_1.9737_1.3471_1.6544,0.555555556,0.625,1,1
96,1,3,272,288,2968,2993,0.014,7,2.0921,2.268271429,0.428571429,1,1,1,1,272_277_279_280_282_285_288,2968_2976_2977_2980_2983_2986_2993,_2.1803_1.8745_2.0921_3.9626_2.2019_1.9272_1.6393,0.411764706,0.269230769,1,1
288,3,13,584,604,916,1007,0.0868,11,1.9211,2.064863636,0.454545455,0.545454545,0.727272727,0.818181818,1,584_585_587_590_593_594_595_596_601_602_604,916_931_939_953_958_961_962_984_988_990_1007,_1.36_1.7427_3.4655_1.9211_2.078_2.2001_1.6868_1.7387_1.973_1.3738_3.1738,0.523809524,0.119565217,1,1
206,2,5,133,145,1504,1534,0.0733,6,1.4785,2.6281,0.5,0.666666667,0.666666667,0.833333333,1,133_134_139_142_143_145,1504_1505_1514_1525_1533_1534,_5.0278_-1_1.4785_1.378_-1_-1,0.461538462,0.193548387,1,1
