id,chr1,chr2,start1,end1,start2,end2,pvalue,length,ks_median,ks_average,homo1,homo2,homo3,homo4,homo5,block1,block2,ks,density1,density2,class1,class2,class1_color,class2_color,diff
618,8,4,1063,1075,595,666,0.1881,8,1.7801,1.74482,0.142857143,0.571428571,0.857142857,0.857142857,1,1063_1064_1065_1066_1067_1069_1070_1075,595_615_620_656_659_663_665_666,_-1_-1_-1_1.9307_1.325_2.0039_1.6844_1.7801,0.615384615,0.111111111,2,1,#187C3A,#187C3A,1.0
279,2,10,727,776,2062,2147,0.1703,7,2.5727,2.84998,0.142857143,0.714285714,0.714285714,0.857142857,1,727_747_748_753_754_762_776,2062_2083_2114_2118_2130_2139_2147,_2.5272_3.2558_-1_2.5727_1.9497_3.9445_-1,0.14,0.081395349,2,1,#AD1F25,#AB549C,1.0
94,10,13,1889,1918,439,509,0.1855,7,2.5419,2.54275,0.166666667,0.5,0.5,0.666666667,1,1889_1891_1893_1895_1898_1910_1918,439_441_451_453_456_475_509,_-1_3.0358_-1_2.0514_-1_2.2288_2.855,0.233333333,0.098591549,1,1,#45A6B5,#761C78,1.0
203,12,3,1380,1420,114,206,0.1081,8,2.05425,2.037366667,0.166666667,0.833333333,1.0,1.0,1,1380_1386_1394_1395_1400_1415_1418_1420,114_121_137_145_166_189_192_206,_1.4672_2.4639_2.0414_-1_-1_2.2378_1.9468_2.0671,0.195121951,0.086021505,1,1,#255DAB,#6AB82D,1.0
76,1,4,3428,3412,1999,2042,0.0843,5,1.957,2.137925,0.2,1.0,1.0,1.0,1,3428_3426_3420_3415_3412,1999_2010_2028_2036_2042,_1.8782_-1_1.4798_2.0358_3.1579,0.294117647,0.113636364,1,1,#040000,#187C3A,1.0
544,6,8,1605,1611,371,387,0.0607,5,-1.0,-1.0,0.2,0.4,0.4,0.6,1,1605_1606_1607_1609_1611,371_374_383_386_387,_-1_-1_-1_-1_-1,0.714285714,0.294117647,2,1,#6AB82D,#E7211A,1.0
276,2,1,2394,2353,60,88,0.1331,6,2.42535,2.42535,0.25,1.0,1.0,1.0,1,2394_2367_2366_2364_2363_2353,60_71_77_78_82_88,_-1_-1_2.199_-1_-1_2.6517,0.142857143,0.206896552,1,1,#187C3A,#040000,1.0
180,11,2,1218,1165,2475,2487,0.1066,5,1.7938,1.7938,0.25,0.75,1.0,1.0,1,1218_1207_1206_1202_1165,2475_2477_2478_2483_2487,_-1_1.9465_-1_1.6411_-1,0.092592593,0.384615385,2,1,#761C78,#45A6B5,1.0
189,11,3,1425,1391,883,905,0.1886,5,2.8327,2.7982,0.333333333,0.333333333,0.666666667,1.0,1,1425_1414_1412_1397_1391,883_889_893_901_905,_-1_2.5793_2.8327_2.9826_-1,0.142857143,0.217391304,2,1,#761C78,#761C78,1.0
659,9,12,1105,1069,1952,1991,0.1766,6,2.2728,2.351533333,0.333333333,0.333333333,1.0,1.0,1,1105_1094_1092_1091_1086_1069,1952_1973_1983_1989_1990_1991,_1.7372_-1_3.0446_-1_2.2728_-1,0.162162162,0.15,2,1,#C1C0C0,#C1C0C0,1.0
92,1,9,2702,2752,150,191,0.1424,6,2.2277,2.236266667,0.333333333,0.666666667,1.0,1.0,1,2702_2717_2718_2723_2729_2752,150_161_172_184_189_191,_2.2277_-1_-1_-1_2.2188_2.2623,0.117647059,0.142857143,1,1,#F5A118,#EFEA3C,1.0
