id,chr1,chr2,start1,end1,start2,end2,pvalue,length,ks_median,ks_average,homo1,homo2,homo3,homo4,homo5,block1,block2,ks,density1,density2,class1,class2
1,1,10,2221.0,1889.0,1453.0,1767.0,0.1004,64,1.50685,1.6169666666666667,0.59375,0.84375,0.890625,0.96875,0.96875,2221_2207_2206_2205_2202_2201_2200_2194_2193_2191_2185_2184_2170_2168_2167_2158_2155_2154_2152_2137_2135_2132_2117_2107_2105_2102_2097_2090_2088_2087_2086_2083_2080_2079_2078_2075_2071_2070_2052_2049_2037_2028_2024_2014_2007_2004_1999_1998_1995_1981_1968_1966_1961_1942_1936_1935_1933_1918_1915_1910_1909_1903_1895_1889,1453_1455_1457_1462_1464_1466_1467_1473_1479_1480_1502_1507_1514_1518_1522_1525_1526_1527_1532_1535_1538_1540_1541_1547_1550_1551_1552_1554_1556_1558_1564_1570_1571_1572_1578_1579_1588_1590_1593_1595_1603_1609_1615_1625_1626_1628_1629_1631_1637_1647_1687_1696_1707_1708_1710_1711_1720_1722_1723_1724_1725_1731_1756_1767,_1.8006_1.2759_1.1594_1.1068_1.3986_1.4747_1.3912_0.9133_-1_1.5545_1.6435_2.1609_-1_-1_1.1934_1.139_1.3184_1.924_1.4195_1.7484_1.003_2.0943_1.642_1.0083_1.0555_1.5203_1.2991_1.4934_3.0536_2.336_2.0569_1.5632_2.0778_1.4451_1.173_1.5799_2.5636_1.8599_1.4506_1.4473_1.0016_1.2393_1.2435_1.3703_1.4143_2.3027_1.7979_2.7539_1.6791_1.0055_1.4809_1.5969_1.5398_1.2918_2.3878_1.7507_2.3585_2.0119_1.865_1.0037_1.8422_2.3954_-1_1.3404,0.1921921921921922,0.20317460317460317,0,0
2,1,10,1882.0,1796.0,1824.0,1887.0,0.046,19,2.1046,2.2148894736842104,0.7368421052631579,0.8947368421052632,1.0,1.0,1.0,1882_1880_1877_1876_1864_1856_1852_1846_1843_1839_1837_1830_1825_1824_1820_1804_1803_1801_1796,1824_1825_1826_1827_1855_1856_1857_1858_1859_1860_1861_1862_1863_1864_1867_1879_1882_1886_1887,_2.1811_1.9594_2.9032_2.3787_2.1046_3.7287_2.0906_1.1737_1.3752_2.2614_4.9267_2.8892_1.0944_2.1303_3.2226_1.1132_1.449_1.8306_1.2703,0.21839080459770116,0.296875,0,0
3,1,10,1436.0,1562.0,1978.0,2084.0,0.1207,20,1.4329,1.430795,0.65,0.85,0.9,0.9,0.95,1436_1464_1465_1471_1472_1475_1507_1508_1511_1513_1514_1527_1528_1530_1537_1544_1551_1554_1560_1562,1978_1980_1981_1983_1984_1985_2011_2012_2013_2019_2021_2029_2032_2043_2044_2048_2077_2079_2083_2084,_1.0584_1.7487_1.1916_1.643_1.2543_1.281_0.9815_1.2718_1.9427_1.4338_1.5553_1.6129_1.117_1.432_1.4536_1.851_1.412_1.1532_1.7721_1.45,0.15748031496062992,0.18691588785046728,0,0
4,1,10,2083.0,1905.0,1563.0,1734.0,0.6843,20,1.5501,1.9741500000000003,0.4,0.75,0.95,0.95,0.95,2083_2080_2079_2075_2070_2051_2042_2028_2024_2013_1998_1997_1981_1957_1950_1942_1935_1922_1917_1905,1563_1575_1576_1580_1587_1593_1604_1612_1618_1625_1632_1640_1644_1675_1678_1712_1716_1718_1722_1734,_2.3059_2.9327_1.5272_3.1277_2.1434_1.1092_3.7002_1.5444_1.1624_1.3505_1.2115_1.9924_0.9697_5.1031_2.4662_1.5622_0.8019_1.5558_1.4614_1.4552,0.11173184357541899,0.11627906976744186,0,0
5,1,10,2155.0,2214.0,1454.0,1527.0,0.3442,13,1.7236,1.8192538461538463,0.6923076923076923,0.7692307692307693,1.0,1.0,1.0,2155_2172_2173_2175_2180_2182_2183_2184_2185_2186_2189_2190_2214,1454_1486_1487_1490_1498_1499_1500_1501_1509_1511_1512_1513_1527,_1.5558_1.1108_1.7236_1.6249_1.9163_2.567_1.8156_2.3368_1.9418_1.288_0.9162_1.3772_3.4763,0.21666666666666667,0.17567567567567569,0,0
6,1,10,1604.0,1554.0,2059.0,2089.0,0.1703,9,1.3342,1.933522222222222,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,1604_1594_1587_1576_1571_1570_1562_1560_1554,2059_2060_2062_2064_2068_2069_2071_2072_2089,_1.1272_0.9515_3.3372_4.7975_0.9576_1.3342_1.5178_2.1798_1.1989,0.17647058823529413,0.2903225806451613,0,0
7,1,10,2225.0,2266.0,1784.0,1828.0,0.183,9,1.88195,1.7996875,0.6666666666666666,0.8888888888888888,1.0,1.0,1.0,2225_2232_2234_2242_2247_2248_2259_2264_2266,1784_1785_1789_1797_1798_1802_1808_1811_1828,_2.202_1.8527_1.3555_1.9112_1.0558_2.3668_2.4608_1.1927_-1,0.21428571428571427,0.2,0,0
8,1,10,1949.0,1979.0,1670.0,1707.0,0.4083,9,1.8496000000000001,2.0338249999999998,0.8888888888888888,1.0,1.0,1.0,1.0,1949_1950_1957_1958_1962_1966_1968_1975_1979,1670_1674_1677_1679_1685_1686_1690_1704_1707,_1.3936_-1_3.0941_1.1668_3.5505_1.3917_1.87_1.8292_1.9747,0.2903225806451613,0.23684210526315788,0,0
9,1,10,1615.0,1700.0,1926.0,1960.0,0.1725,8,1.3655,1.6330142857142855,0.625,0.875,1.0,1.0,1.0,1615_1632_1647_1665_1676_1677_1699_1700,1926_1930_1939_1941_1948_1952_1955_1960,_1.232_1.751_1.3655_1.5322_3.212_1.1074_-1_1.231,0.09302325581395349,0.22857142857142856,0,0
10,1,10,944.0,881.0,2122.0,2152.0,0.1851,5,1.38895,1.5892249999999999,1.0,1.0,1.0,1.0,1.0,944_932_920_900_881,2122_2127_2134_2150_2152,_2.4642_1.1148_-1_1.6606_1.1173,0.078125,0.16129032258064516,0,0
