id,chr1,chr2,start1,end1,start2,end2,pvalue,length,ks_median,ks_average,homo1,homo2,homo3,homo4,homo5,block1,block2,ks,density1,density2,class1,class2
1,1,1,509,620,8,265,0.0584,31,-1,-1,0.870967742,0.935483871,0.967741935,1,1,509_512_513_515_516_518_520_521_522_528_542_549_557_558_560_563_565_566_567_568_569_570_571_572_575_613_614_616_617_618_620,8_12_13_19_22_32_39_44_46_85_100_128_130_138_147_173_175_183_184_185_193_196_197_199_203_232_242_247_255_262_265,_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,0.276785714,0.120155039,2,1
2,1,1,609,580,282,414,0.0865,16,-1,-1,0.875,1,1,1,1,609_608_607_605_604_603_602_601_597_596_595_594_593_590_588_580,282_284_293_312_313_326_327_328_338_344_362_363_365_371_383_414,_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,0.533333333,0.120300752,2,1
3,1,1,943,867,2573,2687,0.0896,14,-1,-1,0.857142857,0.928571429,0.928571429,1,1,943_938_898_891_888_886_885_883_881_880_874_869_868_867,2573_2592_2613_2617_2621_2627_2634_2636_2642_2646_2673_2678_2680_2687,_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,0.181818182,0.12173913,2,1
4,1,1,540,523,53,89,0.0582,12,-1,-1,1,1,1,1,1,540_539_538_536_534_533_531_530_529_525_524_523,53_54_58_60_62_65_71_76_82_87_88_89,_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,0.666666667,0.324324324,2,1
5,1,1,964,989,623,674,0.067,7,-1,-1,0.857142857,1,1,1,1,964_974_975_976_985_988_989,623_630_631_633_664_672_674,_-1_-1_-1_-1_-1_-1_-1,0.269230769,0.134615385,2,1
6,1,1,901,924,1327,1400,0.1154,6,-1,-1,1,1,1,1,1,901_903_912_915_919_924,1327_1329_1347_1351_1372_1400,_-1_-1_-1_-1_-1_-1,0.25,0.081081081,2,1
9,1,10,1458,1465,307,373,0.0121,6,-1,-1,1,1,1,1,1,1458_1459_1461_1463_1464_1465,307_312_337_343_361_373,_-1_-1_-1_-1_-1_-1,0.75,0.089552239,3,1
10,1,10,1460,1438,93,190,0.1472,6,-1,-1,0.833333333,0.833333333,1,1,1,1460_1449_1443_1441_1439_1438,93_117_137_147_171_190,_-1_-1_-1_-1_-1_-1,0.260869565,0.06122449,3,1
11,1,12,851,825,2069,2116,0.0151,12,-1,-1,0.833333333,1,1,1,1,851_844_843_841_840_839_838_830_829_827_826_825,2069_2073_2075_2087_2088_2093_2105_2107_2108_2110_2115_2116,_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,0.444444444,0.25,2,1
12,1,12,1483,1504,1367,1488,0.0308,12,-1,-1,0.75,0.916666667,0.916666667,0.916666667,1,1483_1485_1486_1488_1490_1491_1492_1493_1494_1500_1502_1504,1367_1375_1411_1419_1426_1436_1442_1444_1454_1470_1471_1488,_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,0.545454545,0.098360656,3,1
13,1,12,1418,1427,1243,1343,0.0147,8,-1,-1,0.625,0.75,1,1,1,1418_1419_1421_1422_1424_1425_1426_1427,1243_1249_1272_1299_1300_1306_1307_1343,_-1_-1_-1_-1_-1_-1_-1_-1,0.8,0.079207921,3,1
14,1,13,1552,1527,1765,1857,0.0418,10,-1,-1,1,1,1,1,1,1552_1551_1550_1549_1548_1544_1536_1532_1528_1527,1765_1766_1767_1769_1778_1784_1818_1841_1852_1857,_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,0.384615385,0.107526882,3,1
15,1,13,1411,1390,2077,2205,0.0588,9,-1,-1,1,1,1,1,1,1411_1410_1409_1404_1399_1398_1395_1392_1390,2077_2078_2092_2126_2165_2166_2176_2187_2205,_-1_-1_-1_-1_-1_-1_-1_-1_-1,0.409090909,0.069767442,3,1
16,1,13,1469,1475,1573,1606,0.0156,5,-1,-1,0.8,1,1,1,1,1469_1471_1472_1473_1475,1573_1574_1578_1588_1606,_-1_-1_-1_-1_-1,0.714285714,0.147058824,3,1
17,1,13,1524,1508,2026,2073,0.1028,5,-1,-1,1,1,1,1,1,1524_1514_1513_1509_1508,2026_2031_2056_2066_2073,_-1_-1_-1_-1_-1,0.294117647,0.104166667,3,1
18,1,13,675,664,504,557,0.0326,5,-1,-1,0.6,0.8,0.8,0.8,0.8,675_674_671_668_664,504_512_525_532_557,_-1_-1_-1_-1_-1,0.416666667,0.092592593,2,1
19,1,2,819,764,2513,2689,0.0092,34,-1,-1,0.941176471,1,1,1,1,819_817_816_812_811_810_808_805_804_800_796_795_792_790_789_788_786_785_784_782_781_780_778_775_774_773_772_771_770_768_767_766_765_764,2513_2515_2517_2519_2531_2540_2542_2549_2550_2552_2555_2586_2590_2593_2601_2607_2611_2620_2626_2628_2629_2632_2647_2651_2653_2656_2657_2661_2668_2684_2685_2686_2687_2689,_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,0.607142857,0.192090395,2,1
20,1,2,639,671,2392,2503,0.0153,19,-1,-1,0.842105263,0.947368421,1,1,1,639_641_642_644_645_648_649_651_652_653_655_656_657_658_661_664_667_670_671,2392_2393_2394_2427_2428_2431_2438_2443_2445_2446_2450_2453_2454_2457_2471_2477_2497_2498_2503,_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,0.575757576,0.169642857,2,1
21,1,2,722,762,2699,2813,0.0476,19,-1,-1,0.842105263,0.947368421,0.947368421,1,1,722_723_724_732_734_735_736_741_744_745_746_747_749_754_757_758_760_761_762,2699_2704_2714_2725_2734_2735_2736_2739_2740_2746_2751_2762_2770_2780_2800_2804_2807_2810_2813,_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,0.463414634,0.165217391,2,1
22,1,2,1061,1087,2994,3027,0.0118,12,-1,-1,0.916666667,1,1,1,1,1061_1062_1063_1064_1065_1066_1069_1075_1076_1077_1078_1087,2994_2999_3000_3001_3002_3004_3007_3011_3016_3017_3023_3027,_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,0.444444444,0.352941176,2,1
23,1,2,1131,1091,2163,2208,0.0292,12,-1,-1,0.833333333,0.916666667,0.916666667,1,1,1131_1119_1114_1112_1110_1107_1105_1104_1100_1093_1092_1091,2163_2177_2184_2187_2189_2192_2195_2196_2202_2204_2206_2208,_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,0.292682927,0.260869565,2,1
24,1,2,1167,1141,2906,2978,0.0409,10,-1,-1,1,1,1,1,1,1167_1163_1155_1150_1149_1148_1147_1145_1144_1141,2906_2932_2936_2947_2953_2954_2961_2963_2965_2978,_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,0.37037037,0.136986301,2,1
25,1,2,702,695,2296,2320,0.0064,7,-1,-1,0.857142857,1,1,1,1,702_701_700_699_697_696_695,2296_2299_2302_2305_2313_2318_2320,_-1_-1_-1_-1_-1_-1_-1,0.875,0.28,2,1
26,1,2,1184,1158,2229,2277,0.0247,8,-1,-1,0.5,0.625,0.75,0.875,0.875,1184_1180_1178_1177_1176_1175_1172_1158,2229_2241_2243_2244_2254_2255_2266_2277,_-1_-1_-1_-1_-1_-1_-1_-1,0.296296296,0.163265306,2,1
