id,chr1,chr2,start1,end1,start2,end2,pvalue,length,ks_median,ks_average,homo1,homo2,homo3,homo4,homo5,block1,block2,ks,density1,density2,class1,class2
31,1,3,8,203,6,186,0.0847,34,1.63215,1.76681,0.823529412,0.911764706,1,1,1,8_12_13_19_26_32_36_42_46_60_93_99_100_102_109_113_137_138_140_142_144_147_151_155_159_160_161_175_182_188_193_199_201_203,6_10_11_12_16_18_20_22_27_60_79_82_86_88_90_93_106_113_119_120_123_125_132_148_166_167_168_169_170_175_176_181_184_186,_1.6709_1.1795_-1_0.9922_1.6838_1.6105_1.3999_1.5839_0.9758_3.0654_-1_2.3794_2.5785_2.2958_1.6538_-1_1.7644_3.0482_1.1578_1.1986_-1_4.04_1.2428_1.9021_1.5969_0.8725_1.7782_2.1104_1.7298_1.3382_1.9361_1.1095_1.5197_1.5897,0.173469388,0.187845304,0,0
49,1,9,30,61,49,85,0.1666,6,1.58675,1.922375,0.333333333,0.833333333,0.833333333,0.833333333,1,30_44_51_52_58_61,49_61_76_80_81_85,_3.5484_0.9676_1.8549_1.3186_-1_-1,0.1875,0.162162162,0,0
21,1,12,47,71,2198,2232,0.0957,10,1.3521,1.511944444,0.7,0.9,1,1,1,47_51_53_55_56_58_61_65_66_71,2198_2199_2204_2209_2210_2212_2214_2223_2224_2232,_1.7537_1.5772_0.9712_1.1412_1.2921_-1_2.905_1.3666_1.2484_1.3521,0.4,0.285714286,0,0
33,1,3,89,54,29,65,0.3186,9,1.3157,1.613171429,0.666666667,0.777777778,1,1,1,89_88_86_82_79_77_58_56_54,29_30_35_39_43_44_63_64_65,_1.2426_1.3587_3.0934_1.8657_1.3157_1.2993_-1_1.1168_-1,0.25,0.243243243,0,0
17,1,12,206,55,2112,2208,0.1701,20,1.6383,1.8246,0.7,0.85,0.9,0.95,0.95,206_205_202_197_193_189_185_184_183_176_174_159_148_144_142_130_112_90_56_55,2112_2121_2123_2135_2138_2140_2141_2142_2143_2148_2150_2151_2152_2153_2154_2186_2190_2196_2206_2208,_0.8095_1.9374_1.5042_2.3912_1.6991_3.0928_1.1408_1.5353_1.9264_1.9435_1.9217_1.6383_4.9787_-1_1.9296_1.5865_1.1397_1.1276_1.1757_1.1894,0.131578947,0.206185567,0,0
15,1,12,210,460,1993,2120,0.1213,32,1.487,1.584465517,0.5625,0.78125,0.90625,0.90625,0.96875,210_215_216_217_218_220_222_223_230_232_246_255_260_271_272_281_282_288_300_301_327_344_354_377_383_391_414_418_449_452_455_460,1993_1998_2001_2004_2005_2006_2009_2016_2018_2026_2028_2035_2041_2044_2052_2056_2057_2060_2067_2068_2070_2092_2093_2097_2099_2103_2104_2105_2108_2109_2115_2120,_1.1091_-1_-1_1.4558_1.5934_2.7974_2.1634_1.066_2.8213_1.5256_1.5286_1.6753_1.8392_1.5014_1.2621_1.6565_1.4755_0.8706_1.4001_2.7773_1.109_1.487_0.9576_2.0679_1.6085_1.4212_1.1533_1.3899_-1_1.2256_1.9843_1.0266,0.12749004,0.25,0,0
30,1,3,469,214,190,383,0.0962,42,1.4555,1.845694872,0.595238095,0.80952381,0.857142857,0.928571429,0.976190476,469_468_463_448_414_391_383_381_380_371_368_365_363_362_346_340_338_337_326_311_310_300_297_295_281_280_276_275_273_263_255_247_237_236_235_233_232_231_224_216_215_214,190_193_194_210_218_222_223_224_225_233_240_241_244_245_247_277_280_282_286_289_290_293_295_298_302_303_306_309_315_328_332_340_341_343_344_348_352_353_354_361_367_383,_3.3945_1.4677_1.1581_1.3678_1.0587_1.3926_1.4788_1.2319_1.2779_1.2164_1.3185_1.9445_3.5041_1.6337_1.2486_1.268_1.3103_3.8562_2.273_0.9717_1.3906_1.3772_2.136_2.0453_1.229_4.5898_0.9809_2.3409_1.0947_-1_2.1815_-1_1.4555_1.8943_2.4469_2.0324_2.6072_0.9075_2.1255_-1_3.7742_0.9997,0.1640625,0.216494845,0,0
26,1,12,484,479,1977,1988,0.0507,5,1.425,1.67442,0.4,0.8,1,1,1,484_483_481_480_479,1977_1982_1983_1985_1988,_1.1267_1.425_1.2832_3.1058_1.4314,0.833333333,0.416666667,0,0
23,1,12,639,558,1822,1848,0.1214,8,1.1487,1.3293,0.875,0.875,1,1,1,639_631_630_623_585_563_561_558,1822_1828_1829_1830_1833_1834_1836_1848,_1.0226_-1_1.1375_1.1487_1.2643_1.776_1.0904_1.8656,0.097560976,0.296296296,0,0
37,1,3,729,639,544,594,0.1625,7,1.2507,1.5909,0.857142857,1,1,1,1,729_695_692_658_651_642_639,544_548_549_551_583_587_594,_1.1601_1.2668_1.2346_3.0494_1.8625_-1_0.972,0.076923077,0.137254902,0,0
