id,chr1,chr2,start1,end1,start2,end2,pvalue,length,ks_median,ks_average,homo1,homo2,homo3,homo4,homo5,block1,block2,ks,density1,density2,class1,class2
1,1,1,774.0,789.0,2155.0,2195.0,0.0149,9,2.002,1.9535714285714287,1.0,1.0,1.0,1.0,1.0,774_775_776_777_778_779_781_788_789,2155_2157_2158_2162_2165_2168_2183_2194_2195,_2.2717_2.3395_0.9919_-1_1.5092_2.002_1.7897_2.771_-1,0.5625,0.21951219512195122,0,0
2,1,1,940.0,949.0,52.0,88.0,0.086,5,2.3418,2.54608,0.4,0.8,1.0,1.0,1.0,940_945_946_947_949,52_71_77_82_88,_3.0151_1.9592_2.3268_3.0875_2.3418,0.5,0.13513513513513514,0,0
3,1,10,27.0,1.0,309.0,469.0,0.0063,20,1.9698,2.1833684210526316,0.85,0.95,0.95,1.0,1.0,27_26_25_24_23_22_21_20_18_16_10_9_8_7_6_5_4_3_2_1,309_313_320_328_337_343_352_361_375_409_414_415_417_430_433_436_438_461_464_469,_-1_2.0695_2.3876_3.1118_1.7601_4.1911_1.2591_1.3726_2.0484_4.706_2.2854_1.435_1.8985_1.5042_1.557_1.9698_1.6106_1.7091_2.0169_2.5913,0.7407407407407407,0.12422360248447205,0,0
4,1,10,1076.0,1026.0,1739.0,1839.0,0.0585,15,1.9801,2.2853,0.8,1.0,1.0,1.0,1.0,1076_1072_1066_1062_1046_1045_1044_1042_1041_1040_1039_1037_1034_1033_1026,1739_1740_1765_1772_1783_1784_1786_1794_1809_1823_1824_1829_1831_1836_1839,_1.3462_3.2064_2.0953_1.7774_1.7237_1.9801_2.2829_1.9431_1.8604_2.5222_1.6159_-1_4.2935_3.0618_-1,0.29411764705882354,0.1485148514851485,0,0
5,1,10,61.0,68.0,184.0,202.0,0.0023,6,1.4394,1.5125666666666666,1.0,1.0,1.0,1.0,1.0,61_62_63_64_65_68,184_189_190_192_196_202,_2.1044_1.3951_1.4837_1.11_1.0523_1.9299,0.75,0.3157894736842105,0,0
6,1,10,52.0,46.0,99.0,121.0,0.0122,6,1.8479,2.05336,0.8333333333333334,1.0,1.0,1.0,1.0,52_51_50_48_47_46,99_101_108_109_117_121,_1.8479_-1_1.6236_2.2369_3.0701_1.4883,0.8571428571428571,0.2608695652173913,0,0
7,1,10,56.0,27.0,18.0,36.0,0.0681,6,1.7886,1.7474399999999999,0.6666666666666666,1.0,1.0,1.0,1.0,56_36_35_34_33_27,18_27_29_33_35_36,_1.416_-1_1.5103_1.8216_1.7886_2.2007,0.2,0.3157894736842105,0,0
8,1,10,818.0,807.0,1297.0,1349.0,0.0904,5,2.6738,3.164766666666667,1.0,1.0,1.0,1.0,1.0,818_812_811_809_807,1297_1303_1304_1323_1349,_2.6738_-1_-1_1.8184_5.0021,0.4166666666666667,0.09433962264150944,0,0
9,1,10,1068.0,1029.0,1722.0,1842.0,0.8037,6,0.9796,1.3212599999999999,0.8333333333333334,1.0,1.0,1.0,1.0,1068_1065_1060_1044_1037_1029,1722_1753_1772_1791_1821_1842,_0.9504_0.9796_0.9056_2.3245_-1_1.4462,0.15,0.049586776859504134,0,0
10,1,10,32.0,59.0,51.0,139.0,0.7559,6,2.2636000000000003,2.344575,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,32_37_43_45_53_59,51_55_93_98_124_139,_2.188_2.6864_2.1647_-1_-1_2.3392,0.21428571428571427,0.06741573033707865,0,0
11,1,12,369.0,357.0,296.0,363.0,0.0715,6,1.5651,1.7158666666666667,1.0,1.0,1.0,1.0,1.0,369_367_364_361_358_357,296_319_335_352_353_363,_-1_1.2741_-1_1.5651_2.3084_-1,0.46153846153846156,0.08823529411764706,0,0
12,1,13,387.0,302.0,533.0,687.0,0.0654,24,2.06635,2.23806875,0.8333333333333334,0.8333333333333334,0.875,0.9166666666666666,1.0,387_383_356_353_350_348_347_346_344_341_340_337_336_335_334_332_331_326_324_322_320_318_316_302,533_535_550_552_556_566_567_568_584_596_597_616_625_626_628_630_631_632_638_640_643_648_680_687,_2.1703_-1_4.488_-1_1.3629_1.8519_2.9355_1.9036_1.5965_1.67_1.9624_-1_2.302_2.294_-1_1.4732_-1_1.3727_2.5266_2.5681_3.3314_-1_-1_-1,0.27906976744186046,0.15483870967741936,0,0
13,1,13,434.0,411.0,708.0,836.0,0.0333,12,2.2083,2.021833333333333,1.0,1.0,1.0,1.0,1.0,434_431_429_427_425_424_421_420_419_417_412_411,708_724_736_759_768_787_802_803_804_807_834_836,_-1_2.3663_2.2647_3.055_1.4228_-1_2.2083_2.4117_1.8005_1.4885_1.1787_-1,0.5,0.09302325581395349,0,0
14,1,13,393.0,406.0,916.0,1007.0,0.0764,9,1.565,2.370142857142857,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.8888888888888888,1.0,393_394_397_399_400_401_404_405_406,916_931_951_958_961_962_988_1000_1007,_1.2261_1.2407_1.7152_-1_6.8441_1.3433_2.6566_1.565_-1,0.6428571428571429,0.09782608695652174,0,0
15,1,13,376.0,387.0,524.0,535.0,0.044,6,1.85345,1.995225,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,376_378_379_380_383_387,524_529_530_532_533_535,_1.4851_2.055_1.6519_2.7889_-1_-1,0.5,0.5,0,0
16,1,13,330.0,302.0,630.0,690.0,0.7262,6,1.42895,1.5038749999999999,0.5,0.8333333333333334,1.0,1.0,1.0,330_327_320_319_314_302,630_631_652_653_674_690,_1.1536_2.004_-1_1.549_1.3089_-1,0.20689655172413793,0.09836065573770492,0,0
17,1,13,393.0,405.0,915.0,1001.0,0.5764,5,2.2746,2.6498199999999996,0.4,0.6,0.8,0.8,1.0,393_395_399_400_405,915_930_961_962_1001,_1.8167_2.2746_3.5008_4.3844_1.2726,0.38461538461538464,0.05747126436781609,0,0
18,1,2,149.0,139.0,330.0,336.0,0.0044,5,1.9388,2.4264399999999995,1.0,1.0,1.0,1.0,1.0,149_147_145_144_139,330_331_333_335_336,_1.9388_3.5279_3.4112_1.4239_1.8304,0.45454545454545453,0.7142857142857143,0,0
19,1,2,102.0,69.0,509.0,546.0,0.1305,5,2.0662000000000003,2.0264,1.0,1.0,1.0,1.0,1.0,102_98_97_89_69,509_511_515_545_546,_1.1244_1.4021_2.7303_-1_2.8488,0.14705882352941177,0.13157894736842105,0,0
20,1,2,1354.0,1297.0,2523.0,2593.0,0.0586,7,1.9825499999999998,2.0657833333333335,0.14285714285714285,0.8571428571428571,1.0,1.0,1.0,1354_1342_1327_1326_1306_1300_1297,2523_2534_2539_2542_2581_2588_2593,_2.0241_2.4508_1.4756_1.7455_2.7577_-1_1.941,0.1206896551724138,0.09859154929577464,0,0
21,1,3,722.0,756.0,918.0,1060.0,0.0408,20,1.5778,1.8662400000000001,0.75,0.9,0.95,0.95,1.0,722_723_725_727_729_730_731_732_733_734_736_738_741_744_745_747_750_752_754_756,918_919_920_921_922_929_940_941_957_962_974_980_989_1017_1030_1032_1034_1036_1051_1060,_1.5778_4.15_3.134_-1_-1_-1_1.561_2.0526_1.3701_1.182_1.3421_1.8287_-1_1.7191_-1_1.6225_1.4598_1.9872_1.4309_1.5758,0.5714285714285714,0.13986013986013987,0,0
22,1,3,857.0,851.0,2542.0,2559.0,0.0049,6,1.7134,2.265675,1.0,1.0,1.0,1.0,1.0,857_856_855_854_853_851,2542_2543_2547_2552_2558_2559,_1.4581_1.8078_4.1778_1.619_-1_-1,0.8571428571428571,0.3333333333333333,0,0
23,1,3,714.0,722.0,827.0,878.0,0.0846,6,2.0274,2.7824,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,1.0,714_715_717_718_721_722,827_831_850_872_876_878,_3.273_-1_1.9971_1.1286_2.0274_5.4859,0.6666666666666666,0.11538461538461539,0,0
24,1,4,868.0,987.0,2513.0,2725.0,0.0154,52,1.85605,1.966235714285714,0.9038461538461539,1.0,1.0,1.0,1.0,868_890_891_893_895_897_898_899_902_905_907_908_910_911_912_913_915_916_917_921_922_923_924_926_927_928_930_931_933_940_943_944_945_947_948_949_955_956_958_960_962_964_966_967_970_973_974_982_984_985_986_987,2513_2525_2526_2536_2538_2539_2544_2548_2549_2553_2560_2561_2567_2574_2579_2580_2581_2590_2593_2596_2597_2603_2607_2609_2611_2612_2613_2614_2628_2633_2644_2649_2663_2671_2675_2678_2688_2690_2695_2700_2704_2708_2709_2710_2712_2714_2715_2716_2717_2718_2722_2725,_1.3507_1.7727_-1_1.8513_2.1735_-1_1.2618_3.78_-1_-1_1.2675_2.6064_1.1748_2.1147_-1_2.0355_1.0987_2.4874_1.3379_1.2662_2.9141_1.5756_1.2041_1.7091_2.0611_1.8902_1.1436_2.3353_-1_1.5331_3.2194_1.321_2.326_-1_2.6248_1.8211_1.4653_1.5104_-1_2.0994_1.1022_1.1006_-1_4.9931_-1_2.2308_2.4005_2.5125_1.9256_2.5707_1.8608_1.5524,0.43333333333333335,0.24413145539906103,0,0
25,1,4,602.0,531.0,283.0,482.0,0.0194,42,2.1968,2.5055333333333336,0.8333333333333334,0.9285714285714286,1.0,1.0,1.0,602_601_600_599_592_589_588_587_583_581_579_578_577_576_573_572_571_570_568_567_564_563_560_559_558_557_556_554_553_552_551_548_546_544_543_542_538_535_534_533_532_531,283_288_291_303_310_318_320_325_326_334_336_345_346_351_357_359_371_373_378_383_390_419_432_434_436_437_440_441_443_445_452_456_462_463_467_468_472_474_477_478_480_482,_2.1772_2.771_-1_1.8347_1.4069_1.8458_2.3629_-1_-1_-1_2.3263_5.6711_2.3279_1.4051_-1_1.2753_-1_3.4089_-1_-1_2.2164_-1_-1_-1_-1_1.1004_1.8386_-1_2.962_-1_1.6248_1.5157_2.1343_7.0699_-1_-1_3.0182_-1_4.1599_2.3015_-1_1.378,0.5833333333333334,0.21,0,0
26,1,4,455.0,504.0,2191.0,2276.0,0.1372,10,1.4022000000000001,1.7433,0.7,0.7,0.8,0.9,1.0,455_456_460_462_484_494_495_496_498_504,2191_2217_2218_2222_2245_2262_2263_2269_2270_2276,_3.2611_0.9648_1.1291_1.4833_-1_1.0535_-1_2.2046_2.5289_1.3211,0.2,0.11627906976744186,0,0
27,1,4,293.0,247.0,2111.0,2168.0,0.0955,9,1.9754,2.0008166666666667,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,293_291_289_284_282_281_280_250_247,2111_2113_2115_2120_2130_2138_2139_2167_2168,_2.1479_1.8196_1.298_2.1312_-1_-1_2.9264_1.6818_-1,0.19148936170212766,0.15517241379310345,0,0
28,1,4,530.0,519.0,1551.0,1628.0,0.0291,9,1.7893,1.82684,0.6666666666666666,0.6666666666666666,0.8888888888888888,1.0,1.0,530_528_527_526_525_524_523_521_519,1551_1564_1568_1574_1590_1597_1606_1615_1628,_1.8426_-1_2.8383_1.1827_-1_1.7893_1.4813_-1_-1,0.75,0.11538461538461539,0,0
29,1,4,602.0,568.0,280.0,380.0,0.4291,9,1.9811,1.9473,0.6666666666666666,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,602_601_600_594_587_586_580_575_568,280_289_293_302_320_325_333_348_380,_2.0592_1.7453_2.8566_1.9811_2.2077_-1_-1_1.3255_1.4557,0.2571428571428571,0.0891089108910891,0,0
30,1,4,516.0,496.0,2247.0,2270.0,0.1601,7,2.7141,2.59908,0.5714285714285714,0.7142857142857143,0.8571428571428571,1.0,1.0,516_515_514_513_511_498_496,2247_2250_2252_2259_2261_2269_2270,_2.8529_-1_-1_2.7141_2.5171_2.0984_2.8129,0.3333333333333333,0.2916666666666667,0,0
31,1,4,510.0,505.0,1484.0,1507.0,0.0074,5,1.9775,2.29255,1.0,1.0,1.0,1.0,1.0,510_508_507_506_505,1484_1485_1487_1505_1507,_2.2045_1.4431_1.7505_3.7721_-1,0.8333333333333334,0.20833333333333334,0,0
