id,chr1,chr2,start1,end1,start2,end2,pvalue,length,ks_median,ks_average,homo1,homo2,homo3,homo4,homo5,block1,block2,ks,density1,density2,class1,class2
2,1,1,1724.0,1753.0,2676.0,2694.0,0.0679,5,1.7355,1.88812,0.8,1.0,1.0,1.0,1.0,1724_1727_1732_1749_1753,2676_2681_2683_2686_2694,_1.7128_1.7355_2.5848_2.1246_1.2829,0.16666666666666666,0.2631578947368421,0,0
3,1,1,1900.0,1836.0,2110.0,2152.0,0.1678,6,2.1472,1.91146,0.6666666666666666,1.0,1.0,1.0,1.0,1900_1879_1855_1853_1842_1836,2110_2134_2141_2146_2150_2152,_-1_2.38_2.5513_2.1472_0.9607_1.5181,0.09230769230769233,0.13953488372093026,0,0
6,1,10,2441.0,2510.0,1237.0,1384.0,0.0773,20,1.9253,2.01056,0.5,0.8,0.9,0.95,1.0,2441_2445_2447_2449_2456_2458_2462_2466_2471_2478_2479_2481_2486_2491_2493_2495_2498_2500_2508_2510,1237_1242_1245_1246_1249_1268_1272_1284_1288_1297_1298_1306_1321_1332_1340_1346_1352_1354_1380_1384,_2.3321_2.0611_-1_-1_2.1586_-1_2.5486_1.9462_-1_1.5259_2.1114_1.5274_1.1256_4.458_1.1389_1.9118_1.6079_1.9253_-1_1.7796,0.2857142857142857,0.13513513513513514,0,0
7,1,10,2322.0,2224.0,1069.0,1223.0,0.1126,19,1.6685,1.7200363636363638,0.42105263157894735,0.6842105263157895,0.7894736842105263,0.8947368421052632,0.9473684210526316,2322_2321_2317_2314_2309_2308_2307_2304_2302_2274_2254_2247_2245_2242_2238_2235_2233_2232_2224,1069_1070_1078_1090_1093_1099_1101_1112_1126_1137_1146_1160_1165_1170_1184_1208_1213_1217_1223,_-1_-1_-1_1.0654_1.5565_1.9455_-1_1.9407_-1_2.1763_1.6685_2.6008_-1_-1_1.3388_1.6378_1.266_1.7241_-1,0.1919191919191919,0.12258064516129033,0,0
9,1,10,2368.0,2409.0,604.0,756.0,0.1525,12,1.7852,1.8814,0.75,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,2368_2372_2373_2385_2387_2390_2391_2394_2395_2407_2408_2409,604_618_621_632_649_655_671_672_678_716_735_756,_2.3154_1.9757_-1_-1_1.7852_3.0746_0.9053_1.7638_-1_2.0556_1.5835_1.4735,0.2857142857142857,0.0784313725490196,0,0
11,1,10,2133.0,2166.0,451.0,538.0,0.1131,8,1.3848,1.5038799999999999,0.625,0.875,0.875,1.0,1.0,2133_2134_2135_2140_2143_2155_2158_2166,451_456_457_478_479_504_533_538,_1.0856_1.0341_1.3848_2.5049_1.51_-1_-1_-1,0.2352941176470588,0.09090909090909093,0,0
15,1,11,1.0,482.0,1.0,712.0,0.0682,109,1.6012,1.7803176470588236,0.6605504587155964,0.8990825688073395,0.9724770642201837,0.9908256880733946,1.0,1_4_5_9_15_19_22_31_36_38_48_49_50_58_62_64_68_71_82_83_85_90_92_99_101_111_112_118_121_123_124_128_129_134_162_194_195_198_210_216_223_224_232_236_238_239_245_253_254_258_259_260_262_263_266_267_268_269_270_271_273_274_279_283_288_291_293_294_297_298_300_302_304_305_309_314_319_328_336_340_341_346_352_362_365_373_374_381_382_383_386_389_398_400_401_406_426_429_431_433_434_435_437_449_450_452_454_455_482,1_16_17_25_34_63_74_91_101_102_106_113_116_133_140_161_169_197_208_209_210_222_250_251_258_261_267_276_291_292_299_302_307_318_357_375_377_411_424_439_453_457_467_468_469_470_475_476_477_486_487_488_489_492_498_499_500_502_504_505_507_508_520_526_534_538_540_546_547_553_554_559_562_563_566_570_572_581_583_588_589_593_615_619_621_623_624_625_626_627_628_629_633_634_635_636_647_648_653_655_659_662_667_677_684_686_687_688_712,_1.5475_1.3706_-1_-1_-1_-1_2.0687_1.9931_1.11_1.3082_1.5594_1.6012_1.9359_1.8995_1.2557_1.6324_1.9240000000000002_1.6384_1.5915_1.6845_1.7835_1.4909_2.4438_-1_2.3981_2.6372_-1_-1_1.3547_-1_1.2616_3.4837_1.5167_2.0287_2.1817_2.6112_1.3375_1.0525_1.3948_1.5048_2.0161_-1_1.4098_-1_1.7911_1.2451_1.7756_1.0209_-1_1.9566_2.2154_1.9642_-1_1.263_-1_1.3816_-1_1.7743_-1_2.4142_1.6701_2.1127_1.4677_4.8484_1.8388_3.8673_2.9603_-1_1.5491_-1_2.5864_1.2827_-1_-1_1.2603_2.0824_1.2778_1.7556_1.6188_1.6096_-1_-1_2.0611_-1_2.0903_0.9744_1.2135_3.5402_1.314_1.3212_1.1451_1.3747_1.4149_1.305_1.9491_1.3763_1.5201_0.9309999999999999_1.4172_1.1746_1.5401_1.5646_3.1769_1.7127_-1_-1_1.7684_1.3843_1.4394,0.2261410788381743,0.15308988764044945,0,0
16,1,11,2622.0,2970.0,7.0,686.0,0.0575,104,1.5393,1.7264585365853655,0.5961538461538461,0.8653846153846154,0.9615384615384616,0.971153846153846,0.9903846153846154,2622_2625_2627_2629_2638_2639_2646_2649_2659_2660_2661_2663_2671_2672_2682_2683_2684_2687_2690_2691_2692_2693_2696_2697_2698_2709_2711_2717_2719_2722_2730_2733_2736_2737_2738_2739_2741_2742_2743_2751_2757_2758_2761_2762_2763_2764_2765_2767_2768_2784_2785_2787_2789_2794_2806_2807_2808_2809_2816_2817_2818_2825_2832_2833_2836_2839_2840_2842_2844_2845_2847_2848_2849_2852_2857_2860_2866_2871_2872_2878_2881_2882_2898_2903_2906_2915_2920_2924_2930_2931_2935_2936_2938_2940_2945_2949_2951_2954_2955_2956_2961_2967_2968_2970,7_18_19_23_34_51_64_67_83_86_99_102_112_118_129_133_134_141_145_147_154_165_169_176_202_209_210_222_253_254_276_277_291_292_294_299_302_308_312_323_325_327_330_331_334_340_346_353_367_375_377_410_414_425_448_451_452_453_467_470_471_476_477_481_482_489_492_500_502_504_507_508_516_522_527_540_547_554_559_562_564_574_583_591_614_623_625_627_632_633_634_635_636_640_646_647_648_653_654_659_667_679_682_686,_1.0997_1.0834_2.2212_-1_-1_1.4096_1.4136_1.7929_2.3349_1.4138_-1_1.2478_-1_1.1318_2.7468_-1_1.1608_-1_1.3951_0.9668_1.6147_-1_1.7881_1.89_2.5949_3.0099_2.1356_1.5977_1.6437_1.0812_-1_2.1096_1.5396_-1_2.3385_1.1287_4.9263_-1_1.5207_1.2981_1.3972_2.1056_-1_1.3363_-1_1.3249_1.8869_1.9049_1.4322_2.9828_1.4371_2.2188_-1_1.0867_0.9918_1.5656_1.5317_2.3174_1.5998_1.3311_-1_1.4801_1.9381_1.4744_1.9869999999999999_-1_-1_-1_1.9685_-1_1.6212_1.9131_2.5539_1.3566_2.2294_-1_1.7762_2.7310000000000003_1.6423_1.9115_-1_1.5125_1.2073_2.4855_1.1484_1.1535_-1_2.4493_1.9331_1.3768_1.0778_1.5390000000000001_1.2003_1.349_1.2958_1.5214_1.2373_1.4722_1.8915_1.6617_2.7765_1.36_1.2511_-1,0.2979942693409742,0.15294117647058825,0,0
17,1,11,1509.0,1321.0,700.0,816.0,0.14400000000000002,18,1.5377999999999998,1.62195625,0.5,0.9444444444444444,0.9444444444444444,1.0,1.0,1509_1504_1500_1488_1478_1459_1450_1444_1438_1425_1424_1418_1402_1391_1379_1356_1352_1321,700_706_729_738_747_755_759_762_763_767_771_772_776_783_786_797_801_816,_1.7863_1.2201_1.8632_1.5612_2.2012_1.3928_1.4809999999999999_1.5116_-1_2.9125_1.5975_1.5144_0.6267_1.3277_1.9226_1.8677_1.1648_-1,0.09523809523809523,0.15384615384615385,0,0
18,1,11,2524.0,2597.0,1973.0,2096.0,0.1348,16,1.8962,2.0143400000000002,0.625,0.6875,0.75,0.8125,0.875,2524_2530_2531_2532_2535_2545_2546_2548_2553_2566_2567_2569_2574_2587_2595_2597,1973_1976_1977_1978_1979_1980_1983_2007_2036_2047_2052_2073_2084_2087_2093_2096,_-1_-1_-1_-1_2.3423_1.2770000000000001_1.4699_3.5697_2.5767_2.0559_1.575_1.4432_2.0972_-1_1.7365_-1,0.21621621621621626,0.12903225806451613,0,0
