id,chr1,chr2,start1,end1,start2,end2,pvalue,length,ks_median,ks_average,homo1,homo2,homo3,homo4,homo5,block1,block2,ks,density1,density2,class1,class2
1,1,10,2221.0,1889.0,1453.0,1767.0,0.1004,64,1.50685,1.6169666666666669,0.59375,0.84375,0.890625,0.96875,0.96875,2221_2207_2206_2205_2202_2201_2200_2194_2193_2191_2185_2184_2170_2168_2167_2158_2155_2154_2152_2137_2135_2132_2117_2107_2105_2102_2097_2090_2088_2087_2086_2083_2080_2079_2078_2075_2071_2070_2052_2049_2037_2028_2024_2014_2007_2004_1999_1998_1995_1981_1968_1966_1961_1942_1936_1935_1933_1918_1915_1910_1909_1903_1895_1889,1453_1455_1457_1462_1464_1466_1467_1473_1479_1480_1502_1507_1514_1518_1522_1525_1526_1527_1532_1535_1538_1540_1541_1547_1550_1551_1552_1554_1556_1558_1564_1570_1571_1572_1578_1579_1588_1590_1593_1595_1603_1609_1615_1625_1626_1628_1629_1631_1637_1647_1687_1696_1707_1708_1710_1711_1720_1722_1723_1724_1725_1731_1756_1767,_1.8006_1.2759_1.1594_1.1068_1.3986_1.4747_1.3912_0.9133_-1_1.5545_1.6435_2.1609_-1_-1_1.1934_1.139_1.3184_1.924_1.4195_1.7484_1.003_2.0943_1.642_1.0083_1.0555_1.5203_1.2991_1.4934_3.0536_2.336_2.0569_1.5632_2.0778_1.4451_1.173_1.5799_2.5636_1.8599_1.4506_1.4473_1.0016_1.2393_1.2435_1.3703_1.4143_2.3027_1.7979_2.7539_1.6791_1.0055_1.4809_1.5969_1.5398_1.2918_2.3878_1.7507_2.3585_2.0119_1.865_1.0037_1.8422_2.3954_-1_1.3404,0.1921921921921922,0.2031746031746031,0,0
2,1,10,1882.0,1796.0,1824.0,1887.0,0.046,19,2.1046,2.2148894736842104,0.7368421052631579,0.8947368421052632,1.0,1.0,1.0,1882_1880_1877_1876_1864_1856_1852_1846_1843_1839_1837_1830_1825_1824_1820_1804_1803_1801_1796,1824_1825_1826_1827_1855_1856_1857_1858_1859_1860_1861_1862_1863_1864_1867_1879_1882_1886_1887,_2.1811_1.9594_2.9032_2.3787_2.1046_3.7287_2.0906_1.1737_1.3752_2.2614_4.9267_2.8892_1.0944_2.1303_3.2226_1.1132_1.449_1.8306_1.2703,0.2183908045977011,0.296875,0,0
3,1,10,1436.0,1562.0,1978.0,2084.0,0.1207,20,1.4329,1.430795,0.65,0.85,0.9,0.9,0.95,1436_1464_1465_1471_1472_1475_1507_1508_1511_1513_1514_1527_1528_1530_1537_1544_1551_1554_1560_1562,1978_1980_1981_1983_1984_1985_2011_2012_2013_2019_2021_2029_2032_2043_2044_2048_2077_2079_2083_2084,_1.0584_1.7487_1.1916_1.643_1.2543_1.281_0.9815_1.2718_1.9427_1.4338_1.5553_1.6129_1.117_1.432_1.4536_1.851_1.412_1.1532_1.7721_1.45,0.1574803149606299,0.1869158878504672,0,0
6,1,10,1604.0,1554.0,2059.0,2089.0,0.1703,9,1.3342,1.933522222222222,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,1604_1594_1587_1576_1571_1570_1562_1560_1554,2059_2060_2062_2064_2068_2069_2071_2072_2089,_1.1272_0.9515_3.3372_4.7975_0.9576_1.3342_1.5178_2.1798_1.1989,0.1764705882352941,0.2903225806451613,0,0
7,1,10,2225.0,2266.0,1784.0,1828.0,0.183,9,1.88195,1.7996875,0.6666666666666666,0.8888888888888888,1.0,1.0,1.0,2225_2232_2234_2242_2247_2248_2259_2264_2266,1784_1785_1789_1797_1798_1802_1808_1811_1828,_2.202_1.8527_1.3555_1.9112_1.0558_2.3668_2.4608_1.1927_-1,0.2142857142857142,0.2,0,0
9,1,10,1615.0,1700.0,1926.0,1960.0,0.1725,8,1.3655,1.6330142857142855,0.625,0.875,1.0,1.0,1.0,1615_1632_1647_1665_1676_1677_1699_1700,1926_1930_1939_1941_1948_1952_1955_1960,_1.232_1.751_1.3655_1.5322_3.212_1.1074_-1_1.231,0.0930232558139534,0.2285714285714285,0,0
10,1,10,944.0,881.0,2122.0,2152.0,0.1851,5,1.38895,1.589225,1.0,1.0,1.0,1.0,1.0,944_932_920_900_881,2122_2127_2134_2150_2152,_2.4642_1.1148_-1_1.6606_1.1173,0.078125,0.1612903225806451,0,0
14,1,12,2353.0,2693.0,1437.0,1707.0,0.0511,79,1.4231,1.520675675675676,0.6708860759493671,0.8734177215189873,0.8860759493670886,0.9240506329113924,0.9746835443037974,2353_2354_2359_2360_2368_2369_2396_2399_2401_2413_2415_2416_2419_2420_2421_2429_2432_2433_2435_2437_2438_2441_2455_2456_2459_2469_2471_2474_2479_2480_2481_2482_2483_2485_2486_2490_2493_2499_2500_2501_2503_2515_2517_2518_2534_2537_2550_2556_2557_2563_2565_2566_2567_2571_2585_2586_2589_2594_2603_2604_2610_2611_2615_2617_2618_2619_2621_2624_2627_2628_2629_2634_2636_2657_2673_2678_2683_2687_2693,1437_1439_1442_1443_1444_1446_1453_1458_1459_1460_1465_1466_1475_1484_1485_1490_1491_1494_1495_1496_1497_1498_1510_1515_1517_1523_1526_1528_1530_1531_1535_1538_1543_1546_1547_1553_1558_1564_1569_1572_1574_1585_1588_1591_1598_1599_1612_1613_1616_1617_1619_1624_1625_1627_1630_1632_1633_1636_1638_1641_1649_1651_1652_1653_1654_1656_1657_1666_1671_1673_1675_1676_1679_1683_1695_1698_1702_1706_1707,_1.6847_-1_1.2512_1.4883_-1_1.9192_1.5469_0.8223_1.409_1.7113_1.4007_1.2985_2.0673_1.0214_1.7332_1.2157_1.7867_-1_1.3344_1.5831_1.1512_2.3145_1.0208_1.2728_2.5456_1.1641_1.7378_1.8892_1.5941_1.1988_1.2996_1.2675_1.6829_1.184_2.1452_2.6384_1.0016_2.3866_1.3106_1.1426_1.1474_1.2514_0.9839_1.0181_1.3237_-1_1.4372_1.3519_1.462_-1_1.3026_1.3083_1.8558_1.9203_1.5042_1.4002_1.4631_2.0461_1.2908_1.5382_1.9844_1.3271_2.1425_1.9188_1.6775_1.5995_1.2718_1.6975_1.2012_1.6206_0.8723_2.567_0.6707_1.1536_2.0248_0.8539_1.8891_1.1296_2.1011,0.2316715542521994,0.2915129151291513,0,0
15,1,12,210.0,460.0,1993.0,2120.0,0.1213,32,1.487,1.5844655172413793,0.5625,0.78125,0.90625,0.90625,0.96875,210_215_216_217_218_220_222_223_230_232_246_255_260_271_272_281_282_288_300_301_327_344_354_377_383_391_414_418_449_452_455_460,1993_1998_2001_2004_2005_2006_2009_2016_2018_2026_2028_2035_2041_2044_2052_2056_2057_2060_2067_2068_2070_2092_2093_2097_2099_2103_2104_2105_2108_2109_2115_2120,_1.1091_-1_-1_1.4558_1.5934_2.7974_2.1634_1.066_2.8213_1.5256_1.5286_1.6753_1.8392_1.5014_1.2621_1.6565_1.4755_0.8706_1.4001_2.7773_1.109_1.487_0.9576_2.0679_1.6085_1.4212_1.1533_1.3899_-1_1.2256_1.9843_1.0266,0.1274900398406374,0.25,0,0
16,1,12,1365.0,1218.0,1892.0,1962.0,0.0775,22,1.4016,1.579683333333333,0.5909090909090909,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9545454545454546,1365_1351_1347_1343_1339_1338_1332_1328_1327_1312_1311_1308_1301_1296_1290_1278_1277_1268_1258_1240_1230_1218,1892_1894_1901_1902_1906_1907_1909_1911_1912_1913_1923_1928_1932_1933_1934_1939_1942_1946_1954_1956_1957_1962,_1.3586_-1_2.463_0.9547_-1_1.7869_1.3515_1.3835_-1_1.4033_1.0382_1.4064_1.4109_2.4841_1.2527_1.5466_1.3999_2.3383_2.2066_-1_1.3505_1.2986,0.1486486486486486,0.3098591549295774,0,0
17,1,12,206.0,55.0,2112.0,2208.0,0.1701,20,1.6383,1.8246,0.7,0.85,0.9,0.95,0.95,206_205_202_197_193_189_185_184_183_176_174_159_148_144_142_130_112_90_56_55,2112_2121_2123_2135_2138_2140_2141_2142_2143_2148_2150_2151_2152_2153_2154_2186_2190_2196_2206_2208,_0.8095_1.9374_1.5042_2.3912_1.6991_3.0928_1.1408_1.5353_1.9264_1.9435_1.9217_1.6383_4.9787_-1_1.9296_1.5865_1.1397_1.1276_1.1757_1.1894,0.131578947368421,0.2061855670103092,0,0
19,1,12,2288.0,2334.0,1713.0,1747.0,0.097,12,1.6177,1.7278363636363636,0.5833333333333334,0.8333333333333334,0.9166666666666666,1.0,1.0,2288_2290_2299_2304_2308_2311_2314_2315_2316_2319_2329_2334,1713_1716_1722_1726_1730_1732_1734_1736_1737_1739_1746_1747,_1.6365_1.2511_1.4153_1.7113_1.2344_2.3834_2.5226_1.0693_1.0408_1.6177_-1_3.1238,0.2553191489361702,0.3428571428571428,0,0
21,1,12,47.0,71.0,2198.0,2232.0,0.0957,10,1.3521,1.5119444444444443,0.7,0.9,1.0,1.0,1.0,47_51_53_55_56_58_61_65_66_71,2198_2199_2204_2209_2210_2212_2214_2223_2224_2232,_1.7537_1.5772_0.9712_1.1412_1.2921_-1_2.905_1.3666_1.2484_1.3521,0.4,0.2857142857142857,0,0
