atr42s1g00971,nc476s13g00685,ive10g02166,agr8s11g00652,spo4s8g00476,abr7s1g00070,da480s2g00912,ase9s8g01364,elg3s4g01414,aco40s3g00166,cs471s13g01524,afi49s4g02920,lc2s3g00020,cm170s12g00495,CdeChr20g00280,vvi161s16g00987,gbi44s5g00093,sgi44s5g02802,afi61s11g00054,,
atr42s7g01744,nc476s4g01396,ive14g00036,agr8s10g00813,spo4s10g00715,abr7s1g00127,da480s2g00695,ase9s2g01809,elg3s12g00236,aco40s25g00243,cs471s6g03214,afi49s6g00283,lc2s10g01394,cm170s1g00380,CdeChr17g00207,vvi161s16g00889,gbi44s10g00012,sgi44s7g00370,,smo62s18g00273,ppa60s9g00487
atr42s10g00040,nc476s7g00449,ive4g01321,agr8s7g01458,spo4s3g00800,abr7s1g00331,da480s19g00110,ase9s3g03254,elg3s15g00291,aco40s15g00375,cs471s10g01450,afi49s7g00188,lc2s13g00776,cm170s4g01678,CdeChr22g00348,vvi161s8g01413,gbi44s4g00777,sgi44s3g02405,afi61s129g00025,smo62s41g00210,ppa60s5g00147
atr42s9g00553,nc476s4g01312,ive8g01403,agr8s5g00806,spo4s11g00519,abr7s1g00594,da480s14g01199,ase9s8g00954,elg3s4g00688,aco40s9g00582,cs471s12g01198,afi49s2g03617,lc2s8g00264,cm170s7g01458,CdeChr11g00446,vvi161s15g00950,gbi44s3g01570,sgi44s10g00927,afi61s28g00061,smo62s181g00010,ppa60s3g01035
atr42s9g01219,nc476s10g00929,ive4g03118,agr8s11g00346,spo4s2g01103,abr7s1g00624,da480s14g01292,ase9s1g03166,elg3s4g00883,aco40s3g00498,cs471s3g01568,afi49s2g03714,lc2s11g00702,cm170s6g01554,CdeChr32g00324,vvi161s16g01228,gbi44s4g02250,,afi61s68g00100,smo62s56g00171,ppa60s5g00903
atr42s7g01073,nc476s4g01814,ive12g00427,agr8s2g01805,spo4s2g00311,abr7s1g00666,da480s14g00273,ase9s1g01231,elg3s4g00401,aco40s8g00675,cs471s1g03178,afi49s6g00730,lc2s19g00031,cm170s1g00432,CdeChr21g00066,vvi161s6g01190,gbi44s6g01408,sgi44s7g01485,afi61s9g00007,smo62s24g00224,ppa60s5g00744
atr42s7g01842,nc476s12g00667,ive12g00332,agr8s2g01590,spo4s14g00526,abr7s1g00686,da480s14g00303,ase9s1g00785,elg3s4g00352,aco40s8g00101,cs471s4g02405,afi49s6g00089,lc2s9g01165,cm170s9g00357,CdeChr17g00188,vvi161s2g00395,,sgi44s9g01110,afi61s1623g00002,,
atr42s3g02681,nc476s1g01331,ive2g00863,agr8s8g00288,spo4s9g00905,abr7s1g00773,da480s13g00803,ase9s6g03288,elg3s3g01560,aco40s12g00454,cs471s4g00723,afi49s2g00098,lc2s8g00504,cm170s3g01802,CdeChr27g00411,vvi161s5g00569,gbi44s7g00248,sgi44s1g02092,afi61s490g00002,smo62s63g00185,ppa60s25g00031
atr42s9g02517,nc476s10g00799,ive8g00789,agr8s7g00540,spo4s9g00358,abr7s1g01258,da480s14g01313,ase9s8g00593,elg3s11g00325,aco40s8g00490,cs471s6g01016,afi49s2g01391,lc2s11g00991,cm170s6g01376,CdeChr35g00403,vvi161s2g00478,gbi44s2g01788,sgi44s5g02486,,smo62s43g00192,ppa60s21g00335
atr42s3g02346,nc476s12g01437,ive13g00617,agr8s5g01387,spo4s20g00196,abr7s1g01423,da480s4g01393,ase9s1g02140,elg3s4g00637,aco40s3g00023,cs471s6g01154,afi49s2g00778,lc2s11g01101,cm170s7g01276,CdeChr8g00106,vvi161s15g00585,gbi44s12g00139,sgi44s2g03881,afi61s92g00051,smo62s1g00331,ppa60s5g00091
atr42s7g00013,nc476s1g01857,ive8g00672,agr8s7g00453,spo4s14g00176,abr7s1g01424,da480s4g01391,ase9s1g02138,elg3s4g00636,aco40s9g00615,cs471s9g00975,afi49s2g00780,lc2s11g01102,cm170s6g01324,CdeChr32g00465,vvi161s16g00604,gbi44s3g00046,sgi44s6g01032,afi61s69g00043,smo62s46g00036,ppa60s19g00763
atr42s9g01732,nc476s9g01764,ive13g00980,agr8s5g00981,spo4s9g00401,abr7s1g01479,da480s16g00399,ase9s1g02991,elg3s4g00837,aco40s8g00030,cs471s9g01128,afi49s2g00962,lc2s11g00859,cm170s3g02437,CdeChr31g00082,vvi161s14g00332,gbi44s9g01504,,afi61s79g00017,smo62s22g00247,ppa60s6g01318
