id,chr1,chr2,start1,end1,start2,end2,pvalue,length,ks_median,ks_average,homo1,homo2,homo3,homo4,homo5,block1,block2,ks,density1,density2,class1,class2
1,1,1,1993.0,1915.0,2540.0,2628.0,0.0066,39,1.9169,2.02356,0.8974358974358975,0.9230769230769232,0.9230769230769232,0.9743589743589745,1.0,1993_1992_1991_1990_1988_1987_1985_1979_1978_1977_1969_1968_1967_1966_1959_1957_1956_1954_1953_1951_1949_1948_1947_1946_1943_1940_1938_1937_1936_1933_1932_1931_1928_1922_1921_1920_1918_1916_1915,2540_2541_2542_2545_2549_2550_2559_2560_2561_2562_2563_2564_2565_2581_2585_2586_2587_2588_2589_2591_2592_2594_2595_2599_2601_2603_2604_2605_2606_2610_2611_2613_2617_2619_2620_2621_2624_2625_2628,1.9081_5.0431_-1_1.1869_-1_2.0138_2.5888_-1_2.547_1.9169_-1_1.7707_1.5724_2.3464_1.2496_2.1982_-1_-1_-1_1.5717_1.8568_2.3727_1.9416_1.3661_-1_2.069_-1_-1_1.8548_2.1768_1.6024_-1_-1_-1_1.6636_2.0283_2.0847_-1_1.6586,0.4936708860759494,0.4382022471910112,0,0
2,1,1,3082.0,3019.0,8.0,88.0,0.005,28,1.8847,2.0944857142857147,1.0,1.0,1.0,1.0,1.0,3082_3077_3075_3074_3073_3072_3071_3069_3065_3064_3060_3057_3056_3055_3054_3053_3046_3045_3040_3039_3038_3037_3036_3035_3029_3028_3021_3019,8_13_15_19_22_23_24_26_32_35_36_38_39_41_42_44_62_65_70_71_72_76_77_78_82_85_87_88,3.2418_-1_1.0945_1.2662_3.1537_1.5498_-1_-1_-1_-1_2.3792_1.5125_1.9081_-1_-1_-1_1.5925_3.6199_1.8613_-1_2.8462_-1_-1_-1_-1_2.1855_1.1116_-1,0.4375,0.345679012345679,0,0
3,1,1,2507.0,2456.0,2634.0,2694.0,0.0186,20,1.80345,2.126158333333333,0.95,0.95,0.95,1.0,1.0,2507_2505_2504_2503_2502_2496_2488_2487_2477_2476_2475_2473_2472_2470_2469_2468_2467_2459_2458_2456,2634_2636_2637_2639_2640_2645_2646_2648_2659_2661_2664_2667_2668_2673_2675_2678_2684_2687_2693_2694,2.3937_1.4186_-1_-1_1.454_1.8007_4.9276_1.8592_-1_1.8062_-1_-1_3.43_-1_2.2423_1.3162_-1_1.4533_-1_1.4121,0.3846153846153846,0.3278688524590163,0,0
4,1,1,2979.0,3016.0,131.0,173.0,0.0375,10,2.0912,2.26315,0.9,0.9,0.9,1.0,1.0,2979_2985_2988_2989_2992_2997_2998_3001_3013_3016,131_137_138_139_144_147_151_159_170_173,2.1773_-1_-1_2.4219_-1_3.7256_1.9242_2.0051_-1_1.3248,0.2631578947368421,0.2325581395348837,0,0
5,1,1,3232.0,3157.0,47.0,129.0,0.1449,11,1.73885,1.86995,0.7272727272727273,1.0,1.0,1.0,1.0,3232_3227_3212_3188_3172_3171_3165_3162_3161_3159_3157,47_60_90_100_109_110_114_121_123_125_129,-1_-1_2.6138_-1_2.0638_-1_1.4139_1.3883_-1_-1_-1,0.1447368421052631,0.1325301204819277,0,0
6,1,1,4153.0,4137.0,642.0,712.0,0.0321,9,1.8359,2.153,0.8888888888888888,1.0,1.0,1.0,1.0,4153_4152_4151_4149_4144_4141_4140_4138_4137,642_649_658_672_674_678_704_705_712,-1_1.3288_-1_4.5796_1.181_-1_-1_1.8397_1.8359,0.5294117647058824,0.1267605633802817,0,0
7,1,1,2439.0,2426.0,2288.0,2314.0,0.0206,7,2.0398,1.9591,1.0,1.0,1.0,1.0,1.0,2439_2438_2436_2435_2433_2431_2426,2288_2298_2299_2304_2306_2308_2314,2.494_1.3687_-1_-1_2.0482_2.0398_1.8448,0.5,0.2592592592592592,0,0
9,1,1,3693.0,3683.0,1290.0,1311.0,0.0194,6,1.57865,1.6116,0.8333333333333334,1.0,1.0,1.0,1.0,3693_3692_3689_3688_3687_3683,1290_1296_1301_1308_1310_1311,1.4008_-1_-1_1.8883_1.7152_1.4421,0.5454545454545454,0.2727272727272727,0,0
12,1,11,1500.0,1374.0,1859.0,1990.0,0.0583,30,1.70165,1.8700055555555557,0.8,0.9666666666666668,1.0,1.0,1.0,1500_1498_1497_1496_1495_1489_1488_1487_1483_1481_1478_1476_1475_1467_1457_1452_1449_1444_1443_1441_1440_1438_1435_1434_1433_1414_1413_1412_1381_1374,1859_1874_1883_1889_1892_1895_1897_1898_1903_1904_1905_1907_1911_1912_1913_1915_1919_1922_1924_1925_1926_1927_1934_1935_1937_1945_1948_1950_1989_1990,-1_-1_-1_-1_1.7214_2.7044_1.6784_1.6819_1.9624_-1_1.4347_-1_1.5784_2.2955_-1_-1_2.2874_2.1216_2.4073_1.4168_-1_1.2842_-1_-1_2.5548_2.7509_1.2293_-1_1.252_1.2987,0.2362204724409448,0.2272727272727272,0,0
13,1,11,3599.0,3549.0,221.0,281.0,0.0302,15,2.025,2.0496375,0.9333333333333332,0.9333333333333332,0.9333333333333332,1.0,1.0,3599_3594_3593_3582_3581_3580_3579_3575_3574_3569_3568_3567_3566_3565_3549,221_223_238_241_242_243_246_260_263_272_273_274_275_276_281,2.7669_1.8535_-1_-1_-1_2.6628_2.0766_1.9734_-1_2.1544_-1_1.0808_-1_-1_1.8287,0.2941176470588235,0.2459016393442623,0,0
