id,chr1,chr2,start1,end1,start2,end2,pvalue,length,ks_median,ks_average,homo1,homo2,homo3,homo4,homo5,block1,block2,ks,density1,density2,class1,class2
1,1,1,1829.0,1776.0,2252.0,2328.0,0.2035,7,1.9411,1.8238,0.5714285714285714,0.8571428571428571,1.0,1.0,1.0,1829_1817_1813_1812_1789_1787_1776,2252_2254_2257_2261_2295_2310_2328,_1.629_1.6368_2.0244_1.9788_1.4486_1.9411_2.1079,0.12962962962962962,0.09090909090909091,0,0
2,1,1,1724.0,1753.0,2676.0,2694.0,0.0679,5,1.7355,1.88812,0.8,1.0,1.0,1.0,1.0,1724_1727_1732_1749_1753,2676_2681_2683_2686_2694,_1.7128_1.7355_2.5848_2.1246_1.2829,0.16666666666666666,0.2631578947368421,0,0
3,1,1,1900.0,1836.0,2110.0,2152.0,0.1678,6,2.1472,1.91146,0.6666666666666666,1.0,1.0,1.0,1.0,1900_1879_1855_1853_1842_1836,2110_2134_2141_2146_2150_2152,_-1_2.38_2.5513_2.1472_0.9607_1.5181,0.09230769230769231,0.13953488372093023,0,0
4,1,1,1706.0,1653.0,2715.0,2730.0,0.2222,5,2.35875,2.35875,0.2,0.8,1.0,1.0,1.0,1706_1679_1678_1655_1653,2715_2719_2720_2727_2730,_2.657_-1_2.0605_-1_-1,0.09259259259259259,0.3125,0,0
5,1,1,1818.0,1802.0,2239.0,2324.0,0.5898,5,1.9418,1.97976,0.4,0.6,0.8,0.8,1.0,1818_1813_1812_1808_1802,2239_2266_2276_2303_2324,_2.8425_1.2957_1.8316_1.9418_1.9872,0.29411764705882354,0.05813953488372093,0,0
6,1,10,2441.0,2510.0,1237.0,1384.0,0.0773,20,1.9253,2.01056,0.5,0.8,0.9,0.95,1.0,2441_2445_2447_2449_2456_2458_2462_2466_2471_2478_2479_2481_2486_2491_2493_2495_2498_2500_2508_2510,1237_1242_1245_1246_1249_1268_1272_1284_1288_1297_1298_1306_1321_1332_1340_1346_1352_1354_1380_1384,_2.3321_2.0611_-1_-1_2.1586_-1_2.5486_1.9462_-1_1.5259_2.1114_1.5274_1.1256_4.458_1.1389_1.9118_1.6079_1.9253_-1_1.7796,0.2857142857142857,0.13513513513513514,0,0
7,1,10,2322.0,2224.0,1069.0,1223.0,0.1126,19,1.6685,1.7200363636363638,0.42105263157894735,0.6842105263157895,0.7894736842105263,0.8947368421052632,0.9473684210526315,2322_2321_2317_2314_2309_2308_2307_2304_2302_2274_2254_2247_2245_2242_2238_2235_2233_2232_2224,1069_1070_1078_1090_1093_1099_1101_1112_1126_1137_1146_1160_1165_1170_1184_1208_1213_1217_1223,_-1_-1_-1_1.0654_1.5565_1.9455_-1_1.9407_-1_2.1763_1.6685_2.6008_-1_-1_1.3388_1.6378_1.266_1.7241_-1,0.1919191919191919,0.12258064516129032,0,0
8,1,10,2441.0,2499.0,1236.0,1354.0,0.3339,14,1.7380000000000002,1.9714727272727273,0.2857142857142857,0.6428571428571429,0.8571428571428571,0.8571428571428571,0.8571428571428571,2441_2445_2448_2449_2456_2458_2460_2467_2479_2486_2491_2493_2495_2499,1236_1243_1245_1248_1251_1276_1278_1284_1304_1323_1334_1341_1351_1354,_2.2166_1.4709999999999999_1.0881_-1_3.2932_-1_1.7380000000000002_2.9352_2.3684_1.1607_-1_1.083_2.6105_1.7215,0.23728813559322035,0.11764705882352941,0,0
9,1,10,2368.0,2409.0,604.0,756.0,0.1525,12,1.7852,1.8814000000000002,0.75,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,2368_2372_2373_2385_2387_2390_2391_2394_2395_2407_2408_2409,604_618_621_632_649_655_671_672_678_716_735_756,_2.3154_1.9757_-1_-1_1.7852_3.0746_0.9053_1.7638_-1_2.0556_1.5835_1.4735,0.2857142857142857,0.0784313725490196,0,0
10,1,10,1656.0,1547.0,302.0,418.0,0.2156,13,1.36815,1.7845166666666665,0.38461538461538464,0.6923076923076923,0.9230769230769231,0.9230769230769231,1.0,1656_1649_1619_1616_1614_1606_1602_1587_1586_1571_1561_1549_1547,302_305_311_313_330_334_366_384_385_392_393_415_418,_-1_1.3036_-1_3.2838_2.1652_1.3166_1.4197_-1_-1_-1_1.2182_-1_-1,0.11818181818181818,0.1111111111111111,0,0
