id,chr1,chr2,start1,end1,start2,end2,pvalue,length,ks_median,ks_average,homo1,homo2,homo3,homo4,homo5,block1,block2,ks,density1,density2,class1,class2
1,1,1,509.0,620.0,8.0,265.0,0.0584,31,2.26495,2.3596583333333334,0.8709677419354839,0.9354838709677419,0.967741935483871,1.0,1.0,509_512_513_515_516_518_520_521_522_528_542_549_557_558_560_563_565_566_567_568_569_570_571_572_575_613_614_616_617_618_620,8_12_13_19_22_32_39_44_46_85_100_128_130_138_147_173_175_183_184_185_193_196_197_199_203_232_242_247_255_262_265,_-1_-1_2.3463_2.1226_-1_-1_1.4597_-1_3.763_-1_-1_2.3259_2.5128_-1_3.6521_1.3969_-1_-1_-1_-1_-1_-1_2.4176_2.1247_-1_2.204_-1_-1_-1_1.9903_-1,0.2767857142857143,0.12015503875968993,0,0
2,1,1,609.0,580.0,282.0,414.0,0.0865,16,2.8333,2.716788888888889,0.875,1.0,1.0,1.0,1.0,609_608_607_605_604_603_602_601_597_596_595_594_593_590_588_580,282_284_293_312_313_326_327_328_338_344_362_363_365_371_383_414,_-1_3.4646_2.173_3.1391_1.6134_1.7076_-1_-1_2.8333_-1_4.2928_-1_-1_3.173_-1_2.0543,0.5333333333333333,0.12030075187969924,0,0
3,1,1,943.0,867.0,2573.0,2687.0,0.0896,14,1.7826,2.126645454545454,0.8571428571428571,0.9285714285714286,0.9285714285714286,1.0,1.0,943_938_898_891_888_886_885_883_881_880_874_869_868_867,2573_2592_2613_2617_2621_2627_2634_2636_2642_2646_2673_2678_2680_2687,_1.6812_2.3695_1.7315_-1_1.7142_2.8489_1.5817_1.8609_-1_2.8599_-1_1.5918_1.7826_3.3709,0.18181818181818182,0.12173913043478261,0,0
4,1,1,540.0,523.0,53.0,89.0,0.0582,12,2.6837999999999997,2.784175,1.0,1.0,1.0,1.0,1.0,540_539_538_536_534_533_531_530_529_525_524_523,53_54_58_60_62_65_71_76_82_87_88_89,_-1_-1_1.9428_-1_1.8268_-1_-1_-1_-1_3.9423_-1_3.4248,0.6666666666666666,0.32432432432432434,0,0
5,1,1,964.0,989.0,623.0,674.0,0.067,7,1.9506999999999999,2.2374166666666664,0.8571428571428571,1.0,1.0,1.0,1.0,964_974_975_976_985_988_989,623_630_631_633_664_672_674,_2.1894_2.1548_-1_1.7466_1.4336_4.3507_1.5494,0.2692307692307692,0.1346153846153846,0,0
6,1,1,901.0,924.0,1327.0,1400.0,0.1154,6,2.0651,2.1194499999999996,1.0,1.0,1.0,1.0,1.0,901_903_912_915_919_924,1327_1329_1347_1351_1372_1400,_2.5012_1.8464_1.8468_2.2834_-1_-1,0.25,0.08108108108108109,0,0
7,1,1,948.0,991.0,499.0,579.0,0.2401,7,2.4169,2.319125,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.8571428571428571,0.8571428571428571,948_951_953_960_967_990_991,499_502_509_514_546_577_579,_2.2155_-1_1.4029_2.6183_3.0398_-1_-1,0.1590909090909091,0.08641975308641975,0,0
8,1,1,945.0,926.0,654.0,729.0,0.5709,5,1.9025,1.9025,0.6,0.8,0.8,1.0,1.0,945_935_931_927_926,654_692_704_728_729,_-1_-1_1.4781_-1_2.3269,0.25,0.06578947368421052,0,0
9,1,10,1458.0,1465.0,307.0,373.0,0.0121,6,2.1727,2.0119666666666665,1.0,1.0,1.0,1.0,1.0,1458_1459_1461_1463_1464_1465,307_312_337_343_361_373,_-1_2.2541_-1_-1_1.6091_2.1727,0.75,0.08955223880597014,0,0
10,1,10,1460.0,1438.0,93.0,190.0,0.1472,6,-1.0,-1.0,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1460_1449_1443_1441_1439_1438,93_117_137_147_171_190,_-1_-1_-1_-1_-1_-1,0.2608695652173913,0.061224489795918366,0,0
11,1,12,851.0,825.0,2069.0,2116.0,0.0151,12,2.2755,2.2099285714285712,0.8333333333333334,1.0,1.0,1.0,1.0,851_844_843_841_840_839_838_830_829_827_826_825,2069_2073_2075_2087_2088_2093_2105_2107_2108_2110_2115_2116,_-1_-1_3.2365_-1_2.3922_1.4688_-1_2.5749_1.5974_1.9242_-1_2.2755,0.4444444444444444,0.25,0,0
12,1,12,1483.0,1504.0,1367.0,1488.0,0.0308,12,3.1149,2.812866666666667,0.75,0.9166666666666666,0.9166666666666666,0.9166666666666666,1.0,1483_1485_1486_1488_1490_1491_1492_1493_1494_1500_1502_1504,1367_1375_1411_1419_1426_1436_1442_1444_1454_1470_1471_1488,_-1_3.1149_3.1391_-1_-1_-1_-1_-1_-1_-1_2.1846_-1,0.5454545454545454,0.09836065573770492,0,0
13,1,12,1418.0,1427.0,1243.0,1343.0,0.0147,8,2.1125499999999997,2.22065,0.625,0.75,1.0,1.0,1.0,1418_1419_1421_1422_1424_1425_1426_1427,1243_1249_1272_1299_1300_1306_1307_1343,_2.0637_1.997_-1_-1_2.6605_-1_-1_2.1614,0.8,0.07920792079207921,0,0
14,1,13,1552.0,1527.0,1765.0,1857.0,0.0418,10,2.73985,3.0067833333333334,1.0,1.0,1.0,1.0,1.0,1552_1551_1550_1549_1548_1544_1536_1532_1528_1527,1765_1766_1767_1769_1778_1784_1818_1841_1852_1857,_2.6198_4.114_-1_2.4603_2.3871_3.5996_-1_2.8599_-1_-1,0.38461538461538464,0.10752688172043011,0,0
15,1,13,1411.0,1390.0,2077.0,2205.0,0.0588,9,1.7901,1.7066333333333332,1.0,1.0,1.0,1.0,1.0,1411_1410_1409_1404_1399_1398_1395_1392_1390,2077_2078_2092_2126_2165_2166_2176_2187_2205,_-1_-1_-1_1.308_-1_-1_2.0218_-1_1.7901,0.4090909090909091,0.06976744186046512,0,0
16,1,13,1469.0,1475.0,1573.0,1606.0,0.0156,5,2.21565,2.21565,0.8,1.0,1.0,1.0,1.0,1469_1471_1472_1473_1475,1573_1574_1578_1588_1606,_-1_-1_1.911_-1_2.5203,0.7142857142857143,0.14705882352941177,0,0
17,1,13,1524.0,1508.0,2026.0,2073.0,0.1028,5,4.0531,4.0531,1.0,1.0,1.0,1.0,1.0,1524_1514_1513_1509_1508,2026_2031_2056_2066_2073,_-1_-1_-1_-1_4.0531,0.29411764705882354,0.10416666666666667,0,0
18,1,13,675.0,664.0,504.0,557.0,0.0326,5,2.3958,2.2496,0.6,0.8,0.8,0.8,0.8,675_674_671_668_664,504_512_525_532_557,_-1_2.7508_1.6022_-1_2.3958,0.4166666666666667,0.09259259259259259,0,0
19,1,2,819.0,764.0,2513.0,2689.0,0.0092,34,2.3376,2.407257142857143,0.9411764705882353,1.0,1.0,1.0,1.0,819_817_816_812_811_810_808_805_804_800_796_795_792_790_789_788_786_785_784_782_781_780_778_775_774_773_772_771_770_768_767_766_765_764,2513_2515_2517_2519_2531_2540_2542_2549_2550_2552_2555_2586_2590_2593_2601_2607_2611_2620_2626_2628_2629_2632_2647_2651_2653_2656_2657_2661_2668_2684_2685_2686_2687_2689,_-1_2.5347_-1_1.8714_-1_2.8361_-1_-1_-1_-1_2.0666_-1_-1_1.4711_-1_2.815_-1_2.7519_2.1405_3.9397_1.9252_3.5634_-1_-1_-1_-1_-1_2.8822_-1_1.6947_1.2091_-1_-1_-1,0.6071428571428571,0.192090395480226,0,0
20,1,2,639.0,671.0,2392.0,2503.0,0.0153,19,2.1569,2.360866666666667,0.8421052631578947,0.9473684210526315,1.0,1.0,1.0,639_641_642_644_645_648_649_651_652_653_655_656_657_658_661_664_667_670_671,2392_2393_2394_2427_2428_2431_2438_2443_2445_2446_2450_2453_2454_2457_2471_2477_2497_2498_2503,_3.1312_1.8465_-1_-1_-1_-1_3.0885_-1_1.7506_2.0165_3.2665_-1_-1_1.6162_2.3749_-1_2.1569_-1_-1,0.5757575757575758,0.16964285714285715,0,0
21,1,2,722.0,762.0,2699.0,2813.0,0.0476,19,2.51795,2.6374199999999997,0.8421052631578947,0.9473684210526315,0.9473684210526315,1.0,1.0,722_723_724_732_734_735_736_741_744_745_746_747_749_754_757_758_760_761_762,2699_2704_2714_2725_2734_2735_2736_2739_2740_2746_2751_2762_2770_2780_2800_2804_2807_2810_2813,_3.0704_-1_-1_-1_2.1389_-1_1.9446_-1_-1_-1_-1_1.5258_2.9637_3.7724_2.897_1.3546_4.8725_1.8343_-1,0.4634146341463415,0.16521739130434782,0,0
22,1,2,1061.0,1087.0,2994.0,3027.0,0.0118,12,2.1411,2.111466666666667,0.9166666666666666,1.0,1.0,1.0,1.0,1061_1062_1063_1064_1065_1066_1069_1075_1076_1077_1078_1087,2994_2999_3000_3001_3002_3004_3007_3011_3016_3017_3023_3027,_1.588_-1_-1_2.4415_-1_-1_-1_1.6897_1.8948_2.6674_2.3874_-1,0.4444444444444444,0.35294117647058826,0,0
23,1,2,1131.0,1091.0,2163.0,2208.0,0.0292,12,2.0095,2.169375,0.8333333333333334,0.9166666666666666,0.9166666666666666,1.0,1.0,1131_1119_1114_1112_1110_1107_1105_1104_1100_1093_1092_1091,2163_2177_2184_2187_2189_2192_2195_2196_2202_2204_2206_2208,_-1_1.596_-1_1.4531_2.423_-1_-1_3.2054_-1_-1_-1_-1,0.2926829268292683,0.2608695652173913,0,0
24,1,2,1167.0,1141.0,2906.0,2978.0,0.0409,10,3.2710999999999997,3.2710999999999997,1.0,1.0,1.0,1.0,1.0,1167_1163_1155_1150_1149_1148_1147_1145_1144_1141,2906_2932_2936_2947_2953_2954_2961_2963_2965_2978,_-1_-1_-1_-1_-1_2.2441_4.2981_-1_-1_-1,0.37037037037037035,0.136986301369863,0,0
25,1,2,702.0,695.0,2296.0,2320.0,0.0064,7,2.1925,2.1819333333333333,0.8571428571428571,1.0,1.0,1.0,1.0,702_701_700_699_697_696_695,2296_2299_2302_2305_2313_2318_2320,_-1_-1_2.1925_-1_2.5431_-1_1.8102,0.875,0.28,0,0
